ko,name,description,disease_category
H00009,Adult T-cell leukemia,"Adult T-cell leukemia (ATL) is one of the most aggressive hematologic malignancies and is caused by human T-cell leukemia virus type 1 (HTLV-1). The HTLV-1 Tax protein has been demonstrated to be the oncogenic protein of the virus. Tax may contribute to the process of carcinogenesis by a variety of mechanisms, including upregulating the expression of cellular genes involved in T cell growth and proliferation, including IL-2, IL-2R-alpha, and IL-15. However, ATL cells do not always need Tax expression in the later stage of leukemogenesis. Genetic and epigenetic changes should be implicated in such multistep leukemogenesis. Regarding genetic changes, mutation of p53, and deletion of p16 have been reported in ATL. Mutations of Fas gene are also reported in patients with ATL cells. However, such genetic changes were not frequently detected. In this regard, epigenetic change of p16/INK4A gene was more frequent in ATL cells, and accumulated according to the disease progression. This finding suggests that epigenetic change, including DNA methylation, plays an important role in the leukemogenesis of ATL.",Cancer
H00015,Malignant pleural mesothelioma,"Malignant mesothelioma (MM) is a rare but very aggressive tumor that arises from mesothelial cells lining the pleural, peritoneal and pericardial cavities. Malignant pleural mesothelioma (MPM) is the most common type, accounting for about 70% of all MM cases. Past asbestos exposure represents the major risk factor for MPM, as the link between asbestos fibres and MPM has been largely proved by epidemiological and experimental studies. Recently, simian virus 40 (SV40) has been implicated in the aetiology of MPM. The accumulation of numerous clonal chromosomal deletions in most MMs suggests a multistep process of tumorigenesis, characterized by the loss and/or inactivation of multiple tumor suppressor genes (TSGs). Cytogenetic and loss of heterozygosity (LOH) analyses of MMs have demonstrated frequent deletions of specific sites within chromosome arms 1p, 3p, 6q, 9p, 13q, 15q, and 22q. Furthermore, TSGs within two of these regions, i.e., p16/CDKN2A-p14ARF at 9p21 and NF2 at 22q12, are frequently altered in MMs. Mutations of the p53 gene (TP53) are occasionally observed in MMs.",Cancer
H00041,Kaposi sarcoma,"Kaposi sarcoma (KS) is an angioproliferative disease classified into classic KS, endemic KS, iatrogenic KS, and HIV-associated KS (HIV-KS), however, share the same histological traits and are all associated with infection by the human herpesvirus 8 (HHV8; also known as KSHV). Evidence indicates that KS progression occurs upon the deregulated expression of anti-apoptotic genes (Bcl-2), oncogenes (c-myc, c-int, ras) and oncosuppressor genes (TP53), and is associated with the long-lasting expression of HHV8 latency genes (LANA, v-cyc D, v-FLIP, Kaposin). All these genes are, in fact, expressed or altered in most KS spindle cells in the nodular-late stage of KS. Bcl-2 acts as a major KS progression factor, and TP53 and c-myc may also have a role in disease progression. HHV8 latency gene products may be involved in KS progression due to their capability of promoting cell growth by direct effects or antiapoptotic effects.",Cancer
H00283,Ebola disease,"Ebola disease, also known as Ebola hemorrhagic fever, is a deadly infectious disease caused by ebolaviruses within the genus Ebolavirus in the family Filoviridae of -ssRNA viruses. Four ebolavirus are known to cause Ebola, and a related virus in Filoviridae causes Marburg disease. The first ebolavirus was discovered in 1976 in South Sudan.",Infectious disease
H00284,Crimean-Congo hemorrhagic fever,"Crimean-Congo hemorrhagic fever is an often fatal infectious disease caused by Crimean-Congo hemorrhagic fever virus (CCHFV), an orthonairovirus in the order Bunyavirales of -ssRNA viruses, and transmitted by Ixodoidea ticks. The diseases first recognized in the 1940s in Crimia and then in the 1950s and 1960s in Congo were the same, because the isolated viruses were the same.",Infectious disease
H00365,Herpes simplex virus infection,"Herpes simplex virus infection is caused by Herpes simplex virus type 1 (HSV-1) and Herpes simplex virus type 2 (HSV-2), Simplex viruses in the order Herpesvirales of dsDNA viruses. Humans are the only natural host and reservoir for the HSV virus. HSV are human neurotropic viruses that establish latent infection in dorsal root ganglia (DRG) for the entire life of the host. HSV infects the human host via mucosal surfaces or damaged skin, and most primary infections are asymptomatic. HSV-1 is mainly associated with orofacial lesions, yet it is also the cause of infectious blindness and viral encephalitis in adults. HSV-2 is mainly associated with genital lesions and neonatal encephalitis.",Infectious disease
H00366,Varicella,"Varicella-zoster virus (VZV), also known as human herpes virus 3 (HHV-3), is a human pathogen of the Herpesviridae family that has a double-stranded linear DNA genome. Primary infection usually causes varicella (chickenpox) in children, after which the virus establishes latency in sensory neurons. Subsequent reactivation causes herpes zoster (shingles) in adults.",Infectious disease
H00367,Infectious mononucleosis,"Epstein-Barr virus (EBV) is a common gammaherpesvirus whose initial infection manifests as infectious mononucleosis that is defined as a clinical triad of fever, pharyngitis, and adenopathy. EBV establishes a life-long asymptomatic infection in B cells and can contribute to oncogenesis including Burkitt's lymphoma, nasopharyngeal carcinoma, Hodgkin lymphoma, and post-transplant B cell lymphomas.",Infectious disease
H00368,Cytomegalovirus infection,Cytomegalovirus (CMV) is a double-stranded DNA virus of the Herpesviridae family acquired by late childhood in the majority of individuals. Primary infection is nonspecific but after that the virus becomes latent in multiple organs and can later be reactivated. CMV is an important and common cause of mortality and morbidity in immunocompromised patients such as those with HIV/AIDS or transplant recipients on immunosuppressive therapy.,Infectious disease
H00369,Exanthema subitum,"Human herpesvirus 6 (HHV-6) and human herpesvirus 7 (HHV-7) are human pathogens of members of beta-herpesvirus. Primary infection with HHV-6 and HHV-7 occurs in early childhood and causes short febrile diseases, sometimes associated with cutaneous rash (exanthem subitum). HHV-6 and HHV-7 establish latency in the host following primary infection and may reactivate.",Infectious disease
