from,to
D11014,H00413
D12014,H02398
D00088,H00366
D05529,H01418
D02764,H00366
D02745,H01418
D00391,H00365
D10469,H00413
D00491,H00041
D10817,H01555
D10708,H01563
D10836,H01563
D07507,H01563
D02498,H01563
D08997,H01418
D02747,H00412
D09881,H01563
D06284,H00366
D12114,H02398
D11971,H02398
D04301,H00368
D00445,H01563
D01275,H00041
D10113,H01563
D10316,H00015
D06675,H00412
D11392,H01563
D10192,H01418
D06503,H00015
D10778,H00413
D00579,H00368
D11521,H01563
D10756,H01563
D12115,H02398
D12129,H02398
D05407,H00365
D00398,H00366
D06670,H01563
D10571,H01563
D10624,H01563
D00896,H01563
D11021,H00398
D06271,H02352
D10801,H00368
D00317,H00366
D04431,H00412
D00427,H01563
D11382,H01563
D02745,H00041
D00891,H01563
D02500,H01418
D04112,H01563
D00222,H00365
D02764,H00365
D01655,H00412
D10755,H01563
D11878,H00414
D10193,H00975
D10547,H00372
D06504,H00377
D00423,H00401
D06347,H00384
D10851,H01563
D10578,H00413
D12227,H00381
D00897,H01563
D00413,H01563
D06478,H01563
D02748,H00413
D11039,H01563
D02737,H00401
D11472,H02398
D00579,H00365
D01982,H00412
D09958,H01563
D12174,H02398
D12336,H02398
D08775,H01563
D10600,H01563
D02745,H00413
D10838,H01563
D11875,H00283
D06677,H01563
D01160,H01563
D11395,H01563
D00222,H00366
D01982,H01563
D11396,H01563
D00973,H00366
D11557,H00372
D08605,H01563
D11943,H02398
D10211,H00975
D10900,H00413
D02691,H01563
D00900,H00398
D10605,H00412
D00423,H00413
D02297,H01563
D12269,H02398
D02815,H00041
D11944,H02398
D10745,H00413
D12206,H00380
D10832,H01563
D11282,H01563
D10582,H00413
D00901,H00398
D01068,H00041
D01199,H01563
D02499,H01563
D10835,H01563
D04008,H00412
D11966,H01563
D04859,H00368
D03829,H00398
D00317,H00365
D01276,H01563
D00296,H01563
D02745,H00412
D00353,H00412
D00273,H00368
D02747,H00413
D00333,H00365
D11522,H01563
D00777,H00398
D00895,H01563
D03835,H01563
D00899,H01563
D10366,H00413
D00353,H01563
D00333,H00368
D11627,H00365
D10753,H01563
D00975,H00366
D00902,H00398
D11922,H00283
D07133,H01563
D11936,H02398
D10827,H00413
D12262,H02398
D09575,H01563
D00398,H00365
D10574,H01555
D00435,H01563
D03256,H00368
