taxid,disease_ko
1980459,H00390
10310,H00365
36427,H00975
11553,H00398
11036,H01547
11234,H01696
11069,H00381
186538,H00283
565995,H00283
93838,H00399
649188,H02173
130310,H01320
186540,H00283
290028,H02442
10255,H00372
12542,H00416
122928,H01430
573824,H02442
10335,H00366
122929,H01323
1891767,H00015
138949,H00393
335341,H00398
992212,H01416
11021,H01535
488241,H00398
11908,H00009
337042,H00374
1332244,H00399
28875,H01430
10632,H00370
2560525,H00400
12086,H00376
40540,H00374
11292,H00377
90961,H00378
12475,H00414
1980519,H00284
333760,H00374
11072,H01533
64280,H00383
2697049,H02398
39054,H01326
1980494,H00389
10243,H02351
10600,H01418
11039,H01534
11983,H01323
39054,H01327
130308,H01320
11709,H00406
11620,H00386
57482,H00378
63330,H01538
12080,H00376
46839,H02165
10298,H00365
10258,H02354
64320,H01553
10621,H00374
11103,H00413
33743,H01322
463676,H02442
186541,H00283
10942,H01430
11676,H01563
1678143,H00415
11137,H02442
10376,H00367
11577,H01537
334203,H00374
12092,H00411
35304,H01550
138948,H00393
277944,H02442
11623,H01324
172148,H01560
121791,H01539
12730,H00400
2560602,H00396
262897,H01430
206160,H02164
11082,H01548
1980490,H00389
122928,H01323
11083,H00380
138950,H00393
12090,H01421
59301,H01546
37296,H00041
45219,H01543
499556,H02173
10600,H00374
11224,H00400
28875,H00975
147712,H02442
262897,H01323
10617,H00374
10325,H00387
337043,H00374
37124,H01540
11084,H00380
138951,H00393
211044,H00398
333759,H01418
11079,H01536
10359,H00368
11053,H00381
147711,H02442
493803,H01555
32604,H00369
11041,H00395
11089,H00384
1980471,H00389
36427,H01430
227984,H00402
162145,H01063
11250,H00401
1980486,H00389
2169991,H01541
11070,H00381
11080,H02166
122929,H01430
12083,H00376
35511,H02511
80935,H02512
28311,H00374
10942,H00975
11628,H01542
10245,H02352
31631,H02442
44130,H02442
12131,H02442
11234,H00394
11676,H00406
337054,H00374
11269,H00405
11060,H00381
1335626,H01419
1980467,H00389
333759,H00374
10407,H00412
108098,H01320
11588,H01549
1980491,H00390
1980456,H00390
12089,H01421
10798,H00404
108098,H01420
11029,H00397
118655,H02163
31704,H01326
11216,H00400
11983,H01430
64315,H02171
11709,H01563
10280,H01052
2169701,H01545
130760,H00398
10244,H00373
11908,H01724
333923,H00374
10372,H00369
57483,H00378
