12639,secretory protein
12639,nucleocapsid protein
12639,hypothetical protein
12639,P-protein
12639,hypothetical protein
12639,pre-S protein
12639,surface protein
259931,precore/core protein
259931,polymerase
259931,surface protein
259898,precore protein
259898,core protein
259898,polymerase protein
259898,preS protein
259898,S protein
89623,preC antigen
89623,core antigen
89623,DNA-directed DNA polymerase
89623,preS antigen
89623,S antigen
28300,core antigen
28300,polymerase
28300,large surface antigen
1128118,precore/core protein
1128118,core protein
1128118,polymerase
1128118,large S protein
1128118,S protein
2018685,precore/core protein
2018685,core protein
2018685,DNA polymerase
2018685,large S protein
2018685,S protein
2169919,core
2169919,polymerase
2169919,surface
2169918,ORFY
2169918,core
2169918,core
2169918,polymerase
2169918,surface
2169918,ORFZ
2163996,polymerase
2163996,large surface antigen
2163996,middle surface antigen
2163996,small surface antigen
2163996,X protein
2163996,core protein
2107574,polymerase
2107574,surface protein
2107574,X protein
2107574,core protein
10406,hypothetical protein
10406,hypothetical protein
10406,hypothetical protein
10406,hypothetical protein
10407,polymerase
10407,large envelope protein
10407,X protein
10407,pre-capsid protein
2050037,polymerase
2050037,surface antigen
2050037,X protein
2050037,core antigen
2049933,polymerase
2049933,surface antigen
2049933,X protein
2049933,core antigen
1508710,polymerase
1508710,surface protein
1508710,X protein
1508710,core protein
1508711,polymerase
1508711,surface protein
1508711,X protein
1508711,core protein
1508712,polymerase
1508712,surface protein
1508712,X protein
1508712,core protein
35269,DNA polymerase
35269,surface protein
35269,X protein
35269,core protein
68416,polymerase
68416,preS1 surface protein
68416,surface protein
68416,X protein
68416,core protein
1690672,preC/core protein
1690672,polymerase
1690672,surface protein
1512278,ORF1
1512278,ORF2
1512278,polyprotein
328670,ORF1
328670,ORFII
328670,polyprotein
1016853,hypothetical protein
1016853,virion associated protein
1016853,polyprotein
1476909,ORF I protein
1476909,ORF II protein
1476909,ORF III polyprotein
328671,small protein of unknown function
328671,small protein of unknown function
328671,polyprotein, cleavage products include viral coat protein and proteins with homology to an aspartic protease, reverse transcriptase and RNase H
1016854,hypothetical protein
1016854,virion associated protein
1016854,polyprotein
1016855,hypothetical protein
1016855,virion associated protein
1016855,polyprotein
1016856,hypothetical protein
1016856,virion associated protein
1016856,polyprotein
1016857,hypothetical protein
1016857,virion associated protein
1016857,polyprotein
1411991,hypothetical protein
1411991,hypothetical protein
1411991,putative polyprotein
2057979,ORF1
2057979,ORF2
2057979,polyprotein
2057979,ORF4
2560349,hypothetical protein
2560349,hypothetical protein
2560349,polyprotein
263892,ORF 1
263892,ORF 2
263892,polyprotein
263892,ORF 4
1940252,hypothetical protein
1940252,hypothetical protein
1940252,polyprotein
1940252,hypothetical protein
1960255,hypothetical protein
1960255,hypothetical protein
1960255,polyprotein
1960255,hypothetical protein
2056879,ORF1 protein
2056879,ORF2 protein
2056879,ORF3 polyprotein
2056879,ORFY protein
2056883,ORF1 protein
2056883,ORF2 protein
2056883,ORF3 polyprotein
2056883,ORFY protein
2056884,ORF1 protein
2056884,ORF2 protein
2056884,ORF3 polyprotein
2056884,ORFY protein
2056885,ORF1 protein
2056885,ORF2 protein
2056885,ORF3 polyprotein
2056885,ORFY protein
