virus tax id,host tax id
438782,214697
1241371,36095
491893,37770
11788,10090
2025595,201501
665102,3630
665102,4100
665102,145753
1312723,1312722
932071,3630
1046572,3630
1046572,4100
1046572,108377
1046572,145753
1046572,243762
10815,4097
10815,4100
10815,81866
10815,145753
10815,2059498
169102,3631
169102,81866
169102,108337
554168,5755
554168,5757
212035,5755
212035,5757
1269028,5757
322019,554066
1168547,136180
185639,6997
185639,7067
185639,2755281
1404345,6994
1404345,6995
1291515,6997
1261100,77214
1261101,77214
1977403,2148
46014,2148
1589747,85698
1416009,85698
1416008,85698
1589748,85698
1589746,85698
2767570,85698
2591403,1389935
1610509,85698
1664246,85698
1664247,85698
2796514,217203
2591039,85698
2591041,85698
2591042,85698
2591043,85698
2591048,85698
437444,269667
1732173,2281
1732174,2281
235266,12915
235266,563177
300186,314564
300186,315458
346881,315461
346882,269667
346883,269667
346884,269667
512792,269667
512792,518068
309181,315460
1732175,1
693629,41673
1797140,1
315953,269667
1229761,637389
2010329,80869
2919552,40214
889876,470
1273713,470
2500826,470
1235824,470
2015804,470
2500827,470
762660,469
760732,40214
760939,40214
2178927,470
154784,70347
1187128,470
1647373,470
1735582,470
1458669,470
2301662,470
1970374,470
1970374,28090
1970374,62977
1970374,400667
1792222,470
1406779,470
691318,470
1698439,470
1229760,487316
1406780,470
1916127,470
2053604,470
2059857,470
1243183,470
1481186,470
2686308,470
2315466,470
2315467,470
2315458,470
2686290,470
2686303,470
2666257,470
2686289,470
1837876,470
1605379,470
2690230,470
2315468,470
1481187,470
1932886,470
1932885,470
2315601,470
2016049,470
2016049,1217645
2016050,106654
2016050,1217645
2678937,470
2678937,1217645
2126803,470
1701807,470
1701807,1280
1701808,470
1852629,927193
2269366,48296
2269366,106654
2016052,48296
2016052,1217631
2016053,48296
2655002,470
2655002,48296
1983409,470
1965454,470
1983525,470
1505225,470
1221835,470
1628721,470
1628720,470
1628720,1280
1560342,470
1049283,470
2871198,7904
101764,46246
1776763,3625
1776763,3627
1776763,4100
1776763,165200
1776763,165710
2660760,165200
2560282,3625
2024724,1590841
1112769,200313
1112769,1590841
1112770,3625
1112770,200313
1331744,78511
2880361,1655
2880361,240017
338473,1655
279303,442459
92444,7460
340187,7029
1611877,9534
31612,9913
31612,9970
31612,58271
31612,89462
1590650,9238
1930920,323751
272636,8855
85106,9544
85106,60711
46350,9606
57579,9544
57579,9606
57579,60711
68558,9606
202812,9544
202813,9544
10804,9606
10804,40674
68742,9606
82300,9606
296148,9925
1883104,4100
1883104,471709
1293540,85585
224399,85585
170617,85584
542343,480707
335103,9606
1513196,7159
2010265,1
1513199,7160
2010268,1
2010269,1
2010266,1
390845,7160
341721,316597
1962503,4100
1962503,22994
1962503,46091
1962503,63459
1913112,1430331
1913112,1872391
2911441,645
2163976,380703
2588097,196023
2588515,196023
2588098,948519
321023,645
2907963,645
2588518,196023
2588520,196023
2588517,196023
2588099,948519
2163978,644
2163979,644
2919549,645
2880362,644
1198014,647
1198013,645
2053701,644
1747286,644
1747286,380703
2138298,644
2138299,644
2026082,644
2026082,645
2026113,644
2026113,645
2024208,644
2024208,645
2776735,644
2776735,654
1204516,644
2507411,196023
2591030,644
2591031,644
2591032,644
2591033,644
1505227,644
1978922,1569654
879628,645
879630,645
1141132,29491
2913974,651
754050,728059
926067,645
2608321,644
1127514,645
2420320,644
1157339,56636
1932713,272557
1932713,1198449
700542,272557
1032474,56636
1032474,272557
1032473,56636
1032473,272557
2003501,584996
2560285,3983
10817,3983
685973,34276
685973,34282
685973,34289
685973,47602
685973,47635
685973,511460
222064,3983
222064,4100
2056161,4071
2056161,205524
1963256,4071
1963256,205524
1399914,9785
12480,9534
338079,9534
338079,9606
338079,9615
338079,10036
40050,9615
40050,9793
40050,9796
40050,10036
40050,37951
40050,88399
