drug_id	name	mol_weight	efficacy	targetD01275	Doxorubicin hydrochloride	579.9802	Antineoplastic, Topoisomerase II inhibitor
D02745	Interferon alfa-2b	19268.9111	Antineoplastic, Antiviral, Biological response modifier
D01068	Vinblastine sulfate	909.0526	Antineoplastic, Tubulin polymerization inhibitor
D10316	Nivolumab	143597.3811	Antineoplastic, Immune checkpoint inhibitor, Anti-PD-1 antibody
D10574	Pembrolizumab	146286.2902	Antineoplastic, Immune checkpoint inhibitor, Anti-PD-1 antibody
D06503	Pemetrexed sodium hydrate	597.4813	Antineoplastic, Antimetabolite
D00491	Paclitaxel	853.9061	Antineoplastic, Tubulin depolymerization inhibitor
D10817	Avelumab	0	Antineoplastic, Immunomodulator, Anti-PD-L1 antibody
D02500	Imiquimod	240.3036	Antiviral, Immunomodulator, Toll-like receptor agonist
D10192	Recombinant adsorbed quadrivalent human papillomavirus virus-like particle vaccine	0	Active immunization (papillomavirus)
D02748	Peginterferon alfa-2b	0	Antiviral, Biological response modifier
D02815	Alitretinoin	300.4351	Antineoplastic, Retinoid X receptor (RXR) agonist, Retinoic acid receptor (RAR) agonist
D00777	Amantadine hydrochloride	187.7096	Antiviral, M2 protein inhibitor, Antiparkinsonian, Dopamine secretagogue
D00975	Dexamethasone sodium phosphate	516.4046	Anti-inflammatory, Glucocorticoid receptor agonist
D00088	Hydrocortisone	362.4599	Anti-inflammatory, Glucocorticoid receptor agonist
D00973	Cortisone acetate	402.4807	Anti-inflammatory, Glucocorticoid receptor agonist
D02691	Somatropin	22124.7557	Growth hormone (GH) receptor agonist
D11875	Ansuvimab	143948.1486	Antiviral
D11922	Atoltivimab, maftivimab and odesivimab	0	Antiviral
D00222	Acyclovir	225.2046	Antiviral, DNA polymerase inhibitor
D02764	Acyclovir sodium	247.1865	Antiviral, DNA polymerase inhibitor
D05407	Penciclovir	253.2578	Antiviral, DNA polymerase inhibitor
D00333	Ganciclovir	255.2306	Antiviral, DNA polymerase inhibitor
D00317	Famciclovir	321.3318	Antiviral, DNA polymerase inhibitor
D00398	Valacyclovir hydrochloride	360.7966	Antiviral, DNA polymerase inhibitor
D00579	Foscarnet sodium	191.9508	Antiviral, DNA polymerase inhibitor
D00391	Trifluridine	296.2	Antiviral, Nucleic acid biosynthesis inhibitor
D11627	Acyclovir and hydrochortisone	0	Antiviral
D06284	Varicella-zoster immune globulin	0	Immunizing agent (passive), Prophylactic (herpes zoster)
D04301	Ganciclovir sodium	277.2124	Antiviral, DNA polymerase inhibitor
D00273	Cidofovir	315.2176	Antiviral, DNA polymerase inhibitor
D03256	Valganciclovir hydrochloride	390.8226	Antiviral, DNA polymerase inhibitor
D04859	Maribavir	376.2351	Antiviral
D10801	Letermovir	572.5506	Antiviral
D10547	Brincidofovir	561.6914	Antiviral, DNA polymeraase inhibitor
D11557	Tecovirimat monohydrate	394.3445	Antiviral
D06504	Rabies vaccine	0	Active immunization (rabies)
D12206	Tick-borne encephalitis vaccine	0	Active immunization (tick-borne encephalitis virus)
D12227	Dengue tetravalent vaccine, live	0	Active immunization (dengue virus)
D06347	Yellow fever vaccine	0	Active immunization (yellow fever)
D00901	Rimantadine hydrochloride	215.7628	Antiviral, M2 protein inhibitor
D00902	Zanamivir	332.3098	Antiviral, Neuraminidase inhibitor
D00900	Oseltamivir phosphate	410.3997	Antiviral, Neuraminidase inhibitor
D03829	Peramivir	382.4531	Antiviral, Neuraminidase inhibitor
D11021	Baloxavir marboxil	571.5492	Antiviral, cap-dependent endonuclease inhibitor
D00423	Ribavirin	244.2047	Antiviral
D02737	Palivizumab	0	Antiviral, Anti-RS virus humanized antibody
D00353	Lamivudine	229.2562	Antiviral, Reverse transcriptase inhibitor
D01982	Tenofovir disoproxil fumarate	635.5149	Antiviral, Reverse transcriptase inhibitor
D01655	Adefovir dipivoxil	501.4705	Antiviral, Reverse transcriptase inhibitor
D04008	Entecavir	295.2945	Antiviral, Reverse transcriptase inhibitor
D06675	Telbivudine	242.2286	Antiviral, Reverse transcriptase inhibitor
D10605	Tenofovir alafenamide fumarate	1069.004	Antiviral, Reverse transcriptase inhibitor
D04431	Hepatitis B immune globulin	0	Immunizing agent (passive), Prophylactic (hepatitis B)
D02747	Peginterferon alfa-2a	0	Antiviral, Biological response modifier
D10469	Simeprevir sodium	771.9209	Antiviral, Protease inhibitor
D10366	Sofosbuvir	529.4525	Antiviral, NS5B polymerase inhibitor
D10578	Ledipasvir and sofosbuvir	0	Antiviral
D10582	Dasabuvir, ombitasvir, paritaprevir and ritonavir	0	Antiviral
D10745	Ombitasvir, paritaprevir and ritonavir	0	Antiviral
D10778	Elbasvir and grazoprevir	0	Antiviral
D10827	Sofosbuvir and velpatasvir	0	Antiviral
D10900	Sofosbuvir, velpatasvir and voxilaprevir	0	Antiviral
D11014	Glecaprevir and pibrentasvir	0	Antiviral
D11878	Bulevirtide acetate	0	Antiviral, Entry inhibitor
D10193	Live attenuated human rota virus vaccine, oral	0	Active immunization (rotavirus)
D10211	Rotavirus vaccine, live, oral, pentavalent	0	Active immunization (rotavirus)
D05529	Podofilox	414.4053	Antineoplastic, Antiviral, Tubulin polymerization inhibitor
D08997	Sinecatechins	0	Antiviral
D01160	Saquinavir mesylate	766.9465	Antiviral, HIV protease inhibitor
D00897	Indinavir sulfate	711.868	Antiviral, HIV protease inhibitor
D00427	Ritonavir	720.9442	Antiviral, HIV protease inhibitor
D00899	Nelfinavir mesylate	663.8881	Antiviral, HIV protease inhibitor
D03835	Fosamprenavir calcium	623.6689	Antiviral, HIV protease inhibitor
D01276	Atazanavir sulfate	802.934	Antiviral, HIV protease inhibitor
D08605	Tipranavir	602.6643	Antiviral, HIV protease inhibitor
D06478	Darunavir ethanolate	593.732	Antiviral, HIV protease inhibitor
D00413	Zidovudine	267.2413	Antiviral, Reverse transcriptase inhibitor
D00296	Didanosine	236.2273	Antiviral, Reverse transcriptase inhibitor
D00445	Stavudine	224.2133	Antiviral, Reverse transcriptase inhibitor
D00891	Abacavir sulfate	670.7431	Antiviral, Reverse transcriptase inhibitor
D01199	Emtricitabine	247.2467	Antiviral, Reverse transcriptase inhibitor
D00435	Nevirapine	266.2979	Antiviral, Reverse transcriptase inhibitor
D00895	Delavirdine mesylate	552.6668	Antiviral, Reverse transcriptase inhibitor
D00896	Efavirenz	315.675	Antiviral, Reverse transcriptase inhibitor
D04112	Etravirine	435.2767	Antiviral, Reverse transcriptase inhibitor
D09958	Rilpivirine hydrochloride	402.8795	Antiviral, Reverse transcriptase inhibitor
D10624	Doravirine	425.7492	Antiviral, Reverse transcriptase inhibitor
D07133	Raltegravir potassium	482.5067	Antiviral, HIV integrase inhibitor
D06677	Elvitegravir	447.8838	Antiviral, HIV integrase inhibitor
D10113	Dolutegravir sodium	441.3606	Antiviral, HIV integrase inhibitor
D07507	Zidovudine and lamivudine	0	Antiviral
D08775	Abacavir sulfate and lamivudine	0	Antiviral
D02297	Emtricitabine and tenofovir disoproxil	0	Antiviral
D10838	Abacavir, lamivudine and zidovudine	0	Antiviral
D11521	Lamivudine, nevirapine and zidovudine	0	Antiviral
D10851	Efavirenz, emtricitabine and tenofovir disoproxil	0	Antiviral
D10571	Rilpivirine hydrochloride, tenofovir disoproxil fumarate and emtricitabine	0	Antiviral
D10756	Elvitegravir, cobicistat, emtricitabine and tenofovir disoproxil	0	Antiviral
D02498	Lopinavir and ritonavir	1349.745	Antiviral
D11392	Efavirenz, lamivudine and tenofovir disoproxil fumarate	0	Antiviral
D11395	Lamivudine and tenofovir disoproxil	0	Antiviral
D10600	Dolutegravir, abacavir and lamivudine	0	Antiviral
D10832	Darunavir and cobicistat	0	Antiviral
D10753	Atazanavir and cobicistat	0	Antiviral
D10835	Emtricitabine and tenofovir alafenamide	0	Antiviral
D10755	Elvitegravir, cobicistat, emtricitabine and tenofovir alafenamide	0	Antiviral
D10836	Emtricitabine, rilpivirine and tenofovir alafenamide	0	Antiviral
D11039	Bictegravir, emtricitabine and tenofovir alafenamide	0	Antiviral
D11282	Dolutegravir sodium and rilpivirine hydrochloride	0	Antiviral
D11382	Darunavir, cobicistat, emtricitabine and tenofovir alafenamide	0	Antiviral
D11396	Doravirine, lamivudine and tenofovir disoproxil	0	Antiviral
D11522	Dolutegravir and lamivudine	0	Antiviral
D02499	Enfuvirtide	4491.876	Antiviral, HIV-1 gp41 fusion inhibitor
D06670	Maraviroc	513.6655	Antiviral, CCR5 antagonist
D09575	Ibalizumab	0	Antiviral, HIV fusion inhibitor, Anti-CD4 antibody
