taxid,name,rank
"2759","Eukaryota","superkingdom"
"3193","Embryophyta","clade"
"35493","Streptophyta","phylum"
"3398","Magnoliopsida","class"
"4618","Zingiberales","order"
"4637","Musaceae","family"
"4640","Musa","genus"
"4641","Musa acuminata","species"
"214697","Musa acuminata AAA Group","genome"
"33154","Opisthokonta","clade"
"6447","Mollusca","phylum"
"6448","Gastropoda","class"
"2315723","Lepetellida","order"
"6451","Haliotidae","family"
"6452","Haliotis","genus"
"36095","Haliotis diversicolor","species"
"37770","Haliotis diversicolor aquatilis","genome"
"7711","Chordata","phylum"
"40674","Mammalia","class"
"9989","Rodentia","order"
"10066","Muridae","family"
"10088","Mus","genus"
"10090","Mus musculus","species"
"6656","Arthropoda","phylum"
"50557","Insecta","class"
"7088","Lepidoptera","order"
"82593","Geometridae","family"
"116127","Epirrita","genus"
"201501","Epirrita autumnata","species"
"41938","Malvales","order"
"3629","Malvaceae","family"
"3630","Abutilon","genus"
"4069","Solanales","order"
"4070","Solanaceae","family"
"4085","Nicotiana","genus"
"4100","Nicotiana benthamiana","species"
"96479","Malva","genus"
"145753","Malva parviflora","species"
"1312722","Abutilon permolle","species"
"108335","Sida","genus"
"108377","Sida rhombifolia","species"
"4209","Asterales","order"
"4210","Asteraceae","family"
"243761","Blainvillea","genus"
"243762","Blainvillea rhomboidea","species"
"4097","Nicotiana tabacum","species"
"81866","Nicotiana clevelandii","species"
"1313347","Callianthe","genus"
"2059498","Callianthe sellowiana","species"
"3631","Abutilon theophrasti","species"
"108337","Anoda","genus"
"554915","Amoebozoa","clade"
"555280","Discosea","phylum"
"1485168","Longamoebia","order"
"33677","Acanthamoebidae","family"
"5754","Acanthamoeba","genus"
"5755","Acanthamoeba castellanii","species"
"5757","Acanthamoeba polyphaga","species"
"2692248","core chlorophytes","clade"
"3041","Chlorophyta","phylum"
"75966","Trebouxiophyceae","class"
"35460","Chlorellales","order"
"35461","Chlorellaceae","family"
"3071","Chlorella","genus"
"554066","Chlorella heliozoae","species"
"72037","Hexanauplia","class"
"6833","Calanoida","order"
"121147","Acartiidae","family"
"121148","Acartia","genus"
"136180","Acartia tonsa","species"
"6993","Orthoptera","order"
"6995","Gryllidae","family"
"6996","Acheta","genus"
"6997","Acheta domesticus","species"
"7041","Coleoptera","order"
"7065","Tenebrionidae","family"
"7066","Tenebrio","genus"
"7067","Tenebrio molitor","species"
"7073","Zophobas","genus"
"2755281","Zophobas morio","species"
"6994","Ensifera","genome"
"9397","Chiroptera","order"
"9398","Pteropodidae","family"
"58062","Eidolon","genus"
"77214","Eidolon helvum","species"
"2","Bacteria","superkingdom"
"1783272","Terrabacteria group","clade"
"544448","Tenericutes","phylum"
"31969","Mollicutes","class"
"186329","Acholeplasmatales","order"
"2146","Acholeplasmataceae","family"
"2147","Acholeplasma","genus"
"2148","Acholeplasma laidlawii","species"
"1224","Proteobacteria","phylum"
"28216","Betaproteobacteria","class"
"80840","Burkholderiales","order"
"506","Alcaligenaceae","family"
"222","Achromobacter","genus"
"85698","Achromobacter xylosoxidans","species"
"1389935","Achromobacter animicus","species"
"217203","Achromobacter spanius","species"
"2157","Archaea","superkingdom"
"1783275","TACK group","clade"
"28889","Crenarchaeota","phylum"
"183924","Thermoprotei","class"
"2281","Sulfolobales","order"
"118883","Sulfolobaceae","family"
"12914","Acidianus","genus"
"269667","Acidianus convivator","species"
"12915","Acidianus infernus","species"
"563177","Acidianus hospitalis","species"
"314564","Acidianus pozzuoliensis","species"
"315458","Acidianus sp. F28","species"
"315461","Acidianus sp. Acii25","species"
"518068","Acidianus uzoniensis","species"
"315460","Acidianus sp. Acii26","species"
"1","root","genome"
"41673","Acidianus brierleyi","species"
"1807140","Acidithiobacillia","class"
"225057","Acidithiobacillales","order"
"225058","Acidithiobacillaceae","family"
"119977","Acidithiobacillus","genus"
"33059","Acidithiobacillus caldus","species"
"637389","Acidithiobacillus caldus ATCC 51756","genome"
"80864","Comamonadaceae","family"
"12916","Acidovorax","genus"
"80869","Acidovorax citrulli","species"
"1236","Gammaproteobacteria","class"
"2887326","Moraxellales","order"
"468","Moraxellaceae","family"
"469","Acinetobacter","genus"
"40214","Acinetobacter johnsonii","species"
"470","Acinetobacter baumannii","species"
"70347","Acinetobacter genomosp. 16BJ","species"
"28090","Acinetobacter lwoffii","species"
"202950","Acinetobacter baylyi","species"
"62977","Acinetobacter baylyi ADP1","genome"
"400667","Acinetobacter baumannii ATCC 17978","genome"
"487316","Acinetobacter soli","species"
"1217645","Acinetobacter baumannii NIPH 2061","genome"
"106654","Acinetobacter nosocomialis","species"
"1239","Firmicutes","phylum"
"91061","Bacilli","class"
"1385","Bacillales","order"
"90964","Staphylococcaceae","family"
"1279","Staphylococcus","genus"
"1280","Staphylococcus aureus","species"
"927193","Acinetobacter baumannii A118","genome"
"48296","Acinetobacter pittii","species"
"1217631","Acinetobacter baumannii NIPH 290","genome"
"186623","Actinopteri","class"
"7899","Acipenseriformes","order"
"7900","Acipenseridae","family"
"7901","Acipenser","genus"
"7904","Acipenser transmontanus","species"
"41768","Ranunculales","order"
"3440","Ranunculaceae","family"
"46246","Delphinium","genus"
"41945","Ericales","order"
"3623","Actinidiaceae","family"
"3624","Actinidia","genus"
"3625","Actinidia chinensis","species"
"3627","Actinidia deliciosa","species"
"165200","Actinidia eriantha","species"
"165710","Actinidia kolomikta","species"
"1590841","Actinidia chinensis var. chinensis","genome"
"200313","Nicotiana occidentalis","species"
"41946","Saxifragales","order"
"23066","Grossulariaceae","family"
"3801","Ribes","genus"
"78511","Ribes nigrum","species"
"201174","Actinobacteria","phylum"
"1760","Actinomycetia","class"
"2037","Actinomycetales","order"
"2049","Actinomycetaceae","family"
"1654","Actinomyces","genus"
"1655","Actinomyces naeslundii","species"
"240017","Actinomyces naeslundii MG1","genome"
"85008","Micromonosporales","order"
"28056","Micromonosporaceae","family"
"1865","Actinoplanes","genus"
"442459","Actinoplanes sp. SN223/29","species"
"7399","Hymenoptera","order"
"7458","Apidae","family"
"7459","Apis","genus"
"7460","Apis mellifera","species"
"7524","Hemiptera","order"
"27482","Aphididae","family"
"7028","Acyrthosiphon","genus"
"7029","Acyrthosiphon pisum","species"
"9443","Primates","order"
"9527","Cercopithecidae","family"
"392815","Chlorocebus","genus"
"9534","Chlorocebus aethiops","species"
