from,to
"207264","295550"
"7174","864528"
"2732416","2732424"
"1129","1131"
"7174","284563"
"2611341","207245"
"4667","4677"
"135449","256689"
"7174","69822"
"8899","8900"
"1404","545693"
"8101","8102"
"7458","28641"
"30649","34843"
"119825","30546"
"4107","227725"
"2267","2276"
"10066","121572"
"20685","53889"
"4642","94326"
"470","400667"
"1578","33959"
"1129","166314"
"45053","45057"
"4710","13893"
"7399","48719"
"4479","4575"
"7174","1406360"
"27662","27663"
"8509","81953"
"9367","9368"
"2742598","1613"
"4618","4626"
"254717","749652"
"238884","33652"
"50389","50390"
"7158","120872"
"1036719","27337"
"203490","203491"
"1804623","3550"
"9961","9962"
"337677","157540"
"2763","2806"
"48120","54444"
"34399","1715245"
"2603868","110941"
"7952","7968"
"6704","6705"
"1716","1718"
"41069","41070"
"9776","9778"
"88723","1172566"
"400783","135449"
"9126","2169681"
"6544","47521"
"5021","220672"
"9230","9231"
"28253","1904862"
"9554","9557"
"4479","649763"
"286","306"
"186623","7933"
"1804623","1307779"
"56688","1089753"
"82115","34019"
"8952","279964"
"46995","171896"
"551","338565"
"34622","1155000"
"225058","119977"
"6964","451480"
"9527","542827"
"45053","146803"
"36772","291607"
"5121","1486407"
"35429","3164"
"5654","1463229"
"120497","125878"
"4056","63477"
"5660","87235"
"2251","2253"
"8830","8842"
"4119","35883"
"305597","371200"
"3803","3863"
"4210","53714"
"40674","9362"
"2731342","2732416"
"2829815","191"
"416916","714"
"9539","9544"
"4210","4264"
"816","329854"
"7065","7073"
"4118","112276"
"356","69277"
"7215","7246"
"2158","2159"
"1578","1584"
"203491","203492"
"9409","270763"
"240010","325515"
"1804623","378844"
"254717","689277"
"9224","12929"
"31026","241826"
"8572","8573"
"78752","1423412"
"28901","48409"
"115353","704560"
"3398","4069"
"30948","28828"
"50362","49669"
"27257","29655"
"7711","40674"
"13792","1525212"
"1911","67263"
"33554","379582"
"213598","387127"
"66056","8526"
"9342","37888"
"1909205","2681982"
"8689","8690"
"7174","526217"
"3569","278075"
"91347","2812006"
"91883","4294"
"301541","1049789"
"9133","37606"
"1279","29385"
"9434","225399"
"1129","305430"
"2776189","234626"
"6964","447910"
"43469","1004435"
