ko,description
"K23128","S; HBV large envelope protein"
"K23129","C; HBV capsid protein"
"K21854","X; HBV protein X"
"K21037","P; Hepadnaviridae DNA polymerase / reverse transcriptase / ribonuclease H [EC:2.7.7.7 2.7.7.49 3.1.26.4]"
"K23017","gag; HTLV-1 gag polyprotein"
"K23454","gag-pro-pol; HTLV-1 gag-pro-pol polyprotein"
"K25051","MA; HTLV-1 matrix protein"
"K25052","CA; HTLV-1 capsid protein"
"K25053","NC; HTLV-1 nucleocapsid protein"
"K25054","PR; HTLV-1 protease [EC:3.4.23.-]"
"K25055","RT; HTLV-1 reverse transcriptase / ribonuclease H [EC:2.7.7.49 2.7.7.7 3.1.26.4]"
"K25056","IN; HTLV-1 integrase"
"K19259","env; HTLV envelope glycoprotein gp62"
"K24862","gp46; HTLV envelope surface glycoprotein gp46"
"K24863","gp21; HTLV envelope transmembrane protein gp21"
"K23018","rex; HTLV-1 rex polyprotein"
"K21857","tax; HTLV protein Tax-1"
"K23069","p12I; HTLV-1 accessory protein p12I"
"K23070","p13; HTLV-1 accessory protein p13"
"K23068","p30II; HTLV-1 accessory protein p30II"
"K23071","HBZ; HTLV-1 basic zipper factor"
"K22951","gag, gag-pol; HIV Gag or Gag-Pol polyprotein"
"K25666","MA; HIV-1 matrix protein"
"K25306","CA; HIV capsid protein"
"K25664","NC; HIV-1 nucleocapsid protein"
"K25667","p6gag; HIV-1 p6-gag"
"K22599","PR; HIV protease [EC:3.4.23.16 3.4.23.47]"
"K24802","RT; HIV-1 reverse transcriptase / ribonuclease H [EC:2.7.7.49 2.7.7.7 3.1.26.13]"
"K24803","IN; HIV-1 integrase"
"K22892","vif; HIV-1 virion infectivity factor"
"K22202","vpr; HIV-1 virus protein R"
"K19258","tat; HIV-1 protein Tat"
"K25665","rev; HIV protein Rev"
"K22890","vpu; HIV-1 protein Vpu"
"K19287","env, gp160; HIV envelope glycoprotein gp160"
"K24266","gp120; HIV envelope glycoprotein gp120"
"K24801","gp41; HIV transmembrane fusion protein gp41"
"K22891","nef; HIV-1 protein Nef"
"K23453","src; RSV tyrosine-protein kinase transforming protein Src [EC:2.7.10.2]"
"K25309","VP1; Rotavirus RNA-directed RNA polymerase [EC:2.7.7.48]"
"K25310","VP3; Rotavirus protein VP3 [EC:3.1.4.- 2.7.7.50 2.1.1.56]"
"K24598","VP2; Rotavirus core capsid protein VP2"
"K24597","VP6; Rotavirus inner capsid protein VP6"
"K19249","VP4; Rotavirus outer capsid protein VP4"
"K24596","VP7; Rotavirus outer capsid protein VP7"
"K24592","NSP1-1; Rotavirus nonstructural protein 1-1"
"K25311","VP1; Coltivirus RNA-directed RNA polymerase [EC:2.7.7.48]"
