taxid,name,rank
"10239","Viruses","superkingdom"
"2559587","Riboviria","clade"
"2732409","Artverviricota","phylum"
"2732514","Revtraviricetes","class"
"2732515","Blubervirales","order"
"10404","Hepadnaviridae","family"
"10437","Avihepadnavirus","genus"
"12639","Duck hepatitis B virus","species"
"259931","Ross's goose hepatitis B virus","genome"
"259898","Sheldgoose hepatitis B virus","genome"
"89623","Snow goose hepatitis B virus","genome"
"28300","Heron hepatitis B virus","species"
"1128118","Parrot hepatitis B virus","species"
"2018685","Tinamou hepatitis B virus","species"
"2733289","Herpetohepadnavirus","genus"
"2169919","Tibetan frog hepatitis B virus","species"
"2733290","Metahepadnavirus","genus"
"2169918","Bluegill hepatitis B virus","species"
"10405","Orthohepadnavirus","genus"
"2163996","Capuchin monkey hepatitis B virus","species"
"2734561","Domestic cat hepatitis B virus","species"
"2107574","Domestic cat hepadnavirus","genome"
"10406","Ground squirrel hepatitis virus","species"
"10407","Hepatitis B virus","species"
"2050037","Long-fingered bat hepatitis B virus","species"
"2049933","Pomona bat hepatitis B virus","species"
"1508710","Roundleaf bat hepatitis B virus","species"
"1508711","Horseshoe bat hepatitis B virus","genome"
"1508712","Tent-making bat hepatitis B virus","species"
"35269","Woodchuck hepatitis virus","species"
"68416","Woolly monkey hepatitis B virus","species"
"2733291","Parahepadnavirus","genus"
"1690672","White sucker hepatitis B virus","species"
"2169561","Ortervirales","order"
"186534","Caulimoviridae","family"
"10652","Badnavirus","genus"
"1512278","Aglaonema bacilliform virus","species"
"328670","Banana streak GF virus","species"
"1016853","Banana streak IM virus","species"
"1476909","Banana streak MY virus","species"
"328671","Banana streak OL virus","species"
"1016854","Banana streak UA virus","species"
"1016855","Banana streak UI virus","species"
"1016856","Banana streak UL virus","species"
"1016857","Banana streak UM virus","species"
"1411991","Banana streak VN virus","species"
"2057979","Birch leaf roll-associated virus","species"
"2560349","Blackberry virus F","species"
"263892","Bougainvillea chlorotic vein banding virus","species"
"1940252","Cacao mild mosaic virus","species"
"1960255","Cacao swollen shoot CD virus","species"
"2056879","Cacao swollen shoot CE virus","species"
"2056883","Cacao swollen shoot Ghana M virus","species"
"2056884","Cacao swollen shoot Ghana N virus","species"
