from,to
"10662","2656541"
"337051","31546"
"10699","2733176"
"2842693","1529056"
"10552","1548417"
"1636618","1980966"
"1623289","1245890"
"11006","1497848"
"11266","1513236"
"232799","1541119"
"10239","1327968"
"1623281","2686469"
"223314","223315"
"1623283","2846087"
"1883067","1883068"
"12195","114892"
"325454","1175853"
"1623281","1913118"
"1542744","1983771"
"2842882","2845639"
"1198139","431894"
"1623281","2126812"
"2734257","2079280"
"1623305","2845472"
"2733353","627480"
"2169619","1250303"
"1920860","2734041"
"1511860","2069323"
"12058","2003390"
"1507401","2053080"
"2559587","1922999"
"2560193","2560508"
"12110","12121"
"11983","673457"
"39724","1618255"
"10699","2843432"
"2169536","1987159"
"10811","10812"
"1920865","2734011"
"190729","2203894"
"2846373","387909"
"10662","10689"
"2843778","547228"
"2844239","2696375"
"1506574","1299922"
"2846379","2060951"
"568715","858367"
"2845655","1527493"
"325455","1513261"
"1678143","63421"
"10699","2560101"
"2734058","2483611"
"2732507","2732551"
"194441","11909"
"1307798","1552662"
"1618240","1618241"
"138949","74561"
"10814","1825950"
"1933301","83872"
"10487","176652"
"10239","1955197"
"2734485","2164103"
"2559587","1922544"
"2844659","2656529"
"1982903","1340828"
"1961679","1434987"
"10699","1566990"
"2560172","2560704"
"1511865","1136878"
"694018","1965074"
"2560814","2015440"
"1623306","2126952"
"2846582","1810944"
"1993860","938131"
"10699","1701837"
"2845463","2305480"
"1985696","1272957"
"108098","198503"
"1623292","1340713"
"2734139","2315467"
"1911605","2747322"
"2169529","1785960"
"1985365","2844539"
"2732068","2844265"
"10662","2733107"
"1911599","204928"
"10699","1910993"
"558016","1207438"
"1982928","1471544"
"2560124","2050964"
"2732655","2571082"
"11083","58535"
"2732899","2733266"
"2734033","1970798"
"1914192","2163891"
"1623284","1327774"
"151340","1921823"
"1623286","1542103"
"1051143","2922987"
"119164","12045"
"39724","1692243"
"1857843","292029"
"10652","2169729"
"11983","122928"
"172278","913595"
"2169577","2169981"
"2842820","2843635"
"2169618","2048879"
"337041","10618"
"1891716","1891750"
"2731691","187217"
"2501955","1923190"
"64284","64314"
"2948946","2956639"
"2733361","1141525"
"108098","585085"
"2951618","57482"
"2559587","1922812"
"11786","11837"
"1914296","1425363"
"2844510","1985397"
"2844095","1608102"
"10699","2683673"
"2559587","1923162"
"2733218","2734284"
"1987938","1598146"
"2560065","2842662"
"2501961","1541205"
"2732686","2733642"
"2843970","1582150"
"181667","2847078"
"10814","1256523"
"1623281","563119"
"12160","1543207"
"10814","565052"
"1623305","2845419"
"10814","2603436"
"2731937","2733904"
"2845798","12023"
"2560535","439016"
"1312873","2501923"
"110456","1176434"
"12058","1483681"
"39749","40282"
"1910969","1340813"
"2946797","861044"
"2846200","2530042"
"2845476","213773"
"12163","375546"
"2559587","1923296"
"2560097","2560343"
"680115","169683"
"1211643","2927986"
"2846302","1674930"
"10744","948071"
"2136036","2136038"
"2846182","2601678"
"2845735","2249765"
"10911","2747210"
"11983","1195638"
"2732007","2732525"
"1982294","1235648"
"39740","413970"
"10699","2842574"
"129951","585087"
"11051","64317"
"10814","1513519"
"2508253","2508255"
"186532","2845403"
"190729","417192"
"2559587","1923430"
"2559587","1923780"
"186794","1647458"
"12059","138951"
"1513265","1315262"
"11155","237020"
"28883","10662"
"12877","31504"
"138948","156647"
"1511781","871701"
"2845713","1608065"
"2846391","2596674"
"10699","1623287"
"2843367","2843967"
"2843784","1983413"
"1511808","1469906"
"40121","1511902"
"12283","143920"
"2843462","2845143"
"2842607","1202142"
"1511895","37325"
"103216","2681595"
"10830","1162558"
"10320","31519"
"10699","1982566"
"10260","400570"
"1239573","767521"
"10375","2560569"
"10699","320831"
"39738","1911602"
"1922211","1229754"
"2560222","2560848"
"1982590","1982591"
"53991","263578"
"2733602","1897515"
"11572","1933270"
"10239","1868621"
"680277","1987940"
"12270","2058094"
"260964","121791"
"1653394","144752"
"1982219","1622190"
"1933295","60456"
"2559587","1923109"
"2560113","2560689"
"10239","2731341"
"185751","185753"
"2560137","2560494"
"1165908","1159190"
"11051","390845"
"11646","11723"
"1542744","2844507"
"10366","524650"
"10662","1198140"
"11012","425010"
"548689","146015"
"2955249","759389"
"1921710","1406790"
"1972572","50713"
"1920774","2733602"
"1623302","1958912"
"2732503","2732892"
"1653394","2734417"
"693997","627432"
"11286","249583"
"2560065","2732971"
"10699","2591136"
"11103","1208062"
"2559587","1923243"
"1235662","568209"
"12258","12263"
"558016","271108"
"2559587","1923593"
"1972611","1972621"
"2846118","2801563"
"10239","1685747"
"11270","1511639"
"2733612","979535"
"1920864","2734003"
"333750","333754"
"186794","2560730"
"2559587","1922438"
"10239","1678176"
"1299429","1981049"
"2732499","2732503"
"2559587","1922788"
"10814","620894"
"2559587","1923727"
"10812","10826"
"687331","687346"
"11786","188539"
"2501997","1980516"
"1173754","2500556"
"2733139","2734152"
"10501","346673"
"687338","2846472"
"187214","175814"
"10814","163654"
"10699","2762280"
"1283207","85651"
"1980937","1980947"
"1513458","1955558"
"2559587","1922922"
"10880","699182"
"2560212","2560481"
"12195","40640"
"1982152","1982154"
"11305","1985706"
"2169653","2169870"
"11572","2560767"
"2733611","1455076"
"2169529","2841276"
"10814","2169742"
"2733215","2734281"
"186764","1034110"
"1623298","320842"
"12216","444180"
"11012","2250452"
"1623305","1165135"
"2748302","1979755"
"2169662","2169932"
"1653394","883876"
"12300","12302"
"205868","2907829"
"2845461","1965484"
"2499407","2842313"
"11051","64293"
"10814","2703869"
"1982260","1229782"
"2559587","1923406"
"1283211","83810"
"1982251","1982267"
"558016","2315721"
"2845140","1815511"
"1623281","1739966"
"2169771","2259810"
"10878","2169861"
"10699","2560158"
"12058","2560205"
"2845459","254253"
"1623276","1982363"
"1933275","307164"
"2946836","53988"
"12141","255521"
"39724","1454552"
"2219055","1663127"
"2731643","2731981"
"2841280","2841302"
"151340","2169614"
"2169663","2845897"
"1982296","1500826"
"2733151","2734191"
"10875","2170098"
"2844823","1776153"
"2845466","2305485"
"1982355","2674976"
"10744","573171"
"190729","306025"
"2559587","1923540"
"1985711","2560263"
"1239565","626181"
"12195","12211"
"2733260","2734484"
"217160","71032"
"11051","44024"
"1978007","2772069"
"10501","573012"
"251095","104766"
"1511809","1323528"
"11271","1972568"
"1984785","1698451"
"147711","185915"
"186886","79918"
"2560597","1949201"
"12148","12149"
"2560422","1597976"
"2559587","1923674"
"1978532","1978537"
"2560110","2560367"
"694002","694006"
"10699","2733180"
"2169534","1091052"
"2170221","365048"
"10744","2843476"
"694009","627442"
"2732009","2732010"
"1982562","1838077"
"2733901","1220716"
"2732968","2419745"
"10699","747763"
"2734148","1048189"
"11983","756496"
"2559587","1923219"
"1623283","2846091"
"1984777","1815986"
"337052","2758381"
"11983","1261226"
"10699","1147043"
"39804","75725"
"2846397","2562185"
"10814","223334"
"12639","89623"
"1623305","2845476"
"391228","501371"
"2946797","2955351"
"186764","2530154"
"2169647","2169571"
"694000","393767"
"1511860","2069327"
"2560199","2560327"
"39724","1618259"
"2560250","2560265"
"10699","1289595"
"2734224","2419956"
"151341","2029304"
"1987728","1486661"
"10497","686262"
"325455","1513265"
"564644","2340808"
"39734","47736"
"1913657","1204531"
"2501927","1503289"
"10744","1720324"
"12195","79917"
"2841299","2419930"
"2844148","1747288"
"10663","2846199"
"2560393","2047868"
"100755","590668"
"10662","2732977"
"693996","277944"
"742914","2051672"
"2842329","2733146"
"2559587","1922548"
"2731619","2946167"
"1981159","2844268"
"1891730","10636"
"2559587","1923487"
"10239","1592084"
"2560677","1542092"
"11089","617102"
"1623286","2283028"
"190729","2010286"
"11572","2560743"
"2843779","10757"
"10662","2733111"
"2184034","2842941"
"1513257","909331"
"222459","222460"
"2846682","2052930"
"2559587","1922682"
"76803","1806636"
"144051","2005444"
"1678905","12530"
"11584","2734446"
"39724","1692247"
"2734118","1883368"
"2842888","2845086"
"2734402","2495751"
"2734263","2530116"
"10882","667093"
"2732413","2732414"
"1920493","1338506"
"172278","913599"
"11051","11086"
"2733199","2734262"
"2956355","1235559"
"2840022","2840024"
"2733603","1912319"
"12877","570949"
"108098","585089"
"1511911","1511916"
"39724","2057942"
"1983738","1429793"
"1513275","706526"
"2731643","2731957"
"1921188","1406789"
"185793","221526"
"11157","11266"
"1983110","1647301"
"12160","1692045"
"110456","2733878"
"2733145","2734160"
"2948752","2955972"
"1623281","563123"
"28883","2842320"
"933845","880160"
"1911600","77344"
"11983","1529928"
"2732890","2733237"
"1982897","1982902"
"2733588","1543201"
"187214","172220"
"2844676","2502420"
"936057","1961785"
"12051","670883"
"2846696","1923480"
"76804","2501983"
"2559587","1922361"
"1511808","631431"
"2842329","1920762"
"2845476","213777"
"2846262","1165702"
"2559587","1923300"
"2734594","2734608"
"2560564","2116560"
"548681","548682"
"10814","266799"
"147711","185891"
"186768","1435446"
"2170251","1536605"
"2946797","2599886"
"1982293","1500823"
"2559587","1923650"
"10662","186777"
"2946797","1034152"
"2169666","2169894"
"2560200","2560825"
"10744","2843452"
"2733245","2749935"
"2843428","2846183"
"2843371","2845649"
"2560736","1573760"
"675845","1980426"
"1983740","1076631"
"2843109","2846588"
"2560453","2496545"
"2733917","1932883"
"2170235","1195370"
"187217","2734024"
"12877","298974"
"2169632","2734588"
"1884455","2501934"
"2734238","2484206"
"104766","1980160"
"11103","1544901"
"10652","380669"
"249589","70793"
"2732675","2732762"
