taxid,ko
10406,K23128
2050037,K23128
1508710,K23128
1508711,K23128
1508712,K23128
35269,K23128
68416,K23128
68416,K23128
2049933,K23128
2163996,K23128
2163996,K23128
2163996,K23128
2107574,K23128
10407,K23128
10406,K23129
2050037,K23129
1508710,K23129
1508711,K23129
35269,K23129
68416,K23129
2049933,K23129
2163996,K23129
2107574,K23129
10407,K23129
10406,K21854
2050037,K21854
1508710,K21854
1508711,K21854
1508712,K21854
35269,K21854
68416,K21854
2049933,K21854
2163996,K21854
10407,K21854
1128118,K21037
10406,K21037
2050037,K21037
1508710,K21037
1508711,K21037
1508712,K21037
12639,K21037
12639,K21037
35269,K21037
1690672,K21037
68416,K21037
28300,K21037
89623,K21037
259898,K21037
2018685,K21037
2049933,K21037
2169918,K21037
2169919,K21037
2163996,K21037
259931,K21037
2107574,K21037
10407,K21037
11908,K23017
194440,K23017
11909,K23454
11908,K23454
33748,K23454
11908,K25051
11908,K25052
11908,K25053
11908,K25053
11908,K25054
11908,K25055
11908,K25056
481147,K19259
11908,K19259
11909,K19259
194440,K19259
33748,K19259
318279,K19259
11908,K24862
11909,K24862
11908,K24863
11909,K24863
11908,K23018
481147,K21857
11908,K21857
11909,K21857
194440,K21857
33748,K21857
318279,K21857
194443,K21857
194440,K23069
194440,K23070
194440,K23068
194440,K23071
11709,K22951
11723,K22951
11676,K22951
11676,K22951
159122,K22951
11676,K25666
11709,K25306
11676,K25306
11676,K25664
11676,K25667
11709,K22599
11676,K22599
11676,K24802
11676,K24803
11723,K22892
11676,K22892
11709,K22892
159122,K22892
11676,K22202
159122,K22202
11676,K19258
11657,K19258
11709,K19258
159122,K19258
11676,K25665
11709,K25665
11676,K22890
11723,K19287
11676,K19287
11709,K19287
159122,K19287
11676,K24266
11709,K24266
11676,K24801
11709,K24801
11723,K22891
11676,K22891
11709,K22891
159122,K22891
11886,K23453
11884,K23453
10942,K25309
994994,K25309
994995,K25309
1637496,K25309
36427,K25309
1340801,K25309
335103,K25309
28875,K25309
884200,K25309
994994,K25310
1637496,K25310
36427,K25310
1340801,K25310
335103,K25310
28875,K25310
884200,K25310
10942,K24598
994994,K24598
994995,K24598
1637496,K24598
36427,K24598
1340801,K24598
335103,K24598
28875,K24598
884200,K24598
994994,K24597
36427,K24597
1340801,K24597
28875,K24597
884200,K24597
994994,K19249
36427,K19249
1340801,K19249
28875,K19249
884200,K19249
994994,K24596
36427,K24596
1340801,K24596
28875,K24596
884200,K24596
10942,K24592
994995,K24592
46839,K25311
62352,K25311
46839,K25312
62352,K25312
46839,K25313
62352,K25313
538123,K19250
226613,K24593
2170064,K24593
667093,K24593
12092,K25922
41856,K22271
41856,K24861
41856,K22272
33745,K19358
33746,K19358
40271,K19358
42182,K19358
356114,K19358
1544901,K19358
63746,K19358
41856,K19358
41856,K22497
41856,K22274
41856,K22498
41856,K22275
41856,K22472
41856,K22273
227984,K24149
2697049,K24149
864596,K24149
227984,K25011
2697049,K25011
227984,K25012
2697049,K25012
227984,K25013
2697049,K25013
11137,K25924
227984,K25014
2697049,K25014
227984,K25015
2697049,K25015
11137,K25926
227984,K25016
2697049,K25016
227984,K25017
2697049,K25017
227984,K25018
2697049,K25018
227984,K25019
2697049,K25019
227984,K25020
2697049,K25020
1335626,K25021
227984,K25021
2697049,K25021
1335626,K25022
227984,K25022
2697049,K25022
227984,K25023
2697049,K25023
227984,K25024
2697049,K25024
227984,K25025
2697049,K25025
227984,K24152
2697049,K24152
864596,K24152
227984,K25001
2697049,K25001
227984,K25002
2697049,K25002
1335626,K24324
1263720,K24324
1385427,K24324
1508220,K24324
694007,K24324
694008,K24324
502102,K24325
1160968,K24325
11138,K24325
1541205,K24325
1590370,K24325
1892416,K24325
290028,K24325
11144,K24325
31631,K24325
694006,K24325
2050018,K24325
1508220,K24325
11138,K24325
11128,K24325
693999,K19254
1159907,K19254
1159906,K19254
1159903,K19254
1159904,K19254
1159908,K19254
1159902,K19254
1241933,K19254
11120,K19254
1384461,K19254
766791,K19254
1699095,K19254
1766554,K19254
1503289,K19254
1503292,K19254
1503293,K19254
1503291,K19254
1264898,K19254
277944,K19254
1920748,K19254
1508224,K19254
1964806,K19254
1508228,K19254
572288,K19254
11149,K19254
1159905,K19254
2050019,K19254
2492658,K19254
2569586,K19254
1508228,K19254
11120,K19254
300188,K19254
1920748,K19254
693998,K19254
694001,K19254
393767,K19254
694015,K19254
11152,K19254
572290,K19254
572289,K19254
11137,K19254
11135,K19254
28295,K19254
227984,K24151
2697049,K24151
864596,K24151
227984,K24150
2697049,K24150
864596,K24150
227984,K24106
2697049,K24106
864596,K24106
227984,K24579
2697049,K24579
864596,K24579
227984,K24580
2697049,K24580
864596,K24580
227984,K24581
2697049,K24581
864596,K24581
227984,K24582
2697049,K24582
864596,K24582
227984,K24583
2697049,K24583
2697049,K24584
