type,taxid
dsDN-RT viruses,2559587
ssRN-RT viruses,2559587
dsRN viruses,2559587
+ssRN viruses,2559587
-ssRN viruses,2559587
Other viruses,2559587
dsDN-RT viruses,2732409
ssRN-RT viruses,2732409
dsDN-RT viruses,2732514
ssRN-RT viruses,2732514
dsDN-RT viruses,2732515
dsDN-RT viruses,10404
dsDN-RT viruses,10437
dsDN-RT viruses,12639
dsDN-RT viruses,259931
dsDN-RT viruses,259898
dsDN-RT viruses,89623
dsDN-RT viruses,28300
dsDN-RT viruses,1128118
dsDN-RT viruses,2018685
dsDN-RT viruses,2733289
dsDN-RT viruses,2169919
dsDN-RT viruses,2733290
dsDN-RT viruses,2169918
dsDN-RT viruses,10405
dsDN-RT viruses,2163996
dsDN-RT viruses,2734561
dsDN-RT viruses,2107574
dsDN-RT viruses,10406
dsDN-RT viruses,10407
dsDN-RT viruses,2050037
dsDN-RT viruses,2049933
dsDN-RT viruses,1508710
dsDN-RT viruses,1508711
dsDN-RT viruses,1508712
dsDN-RT viruses,35269
dsDN-RT viruses,68416
dsDN-RT viruses,2733291
dsDN-RT viruses,1690672
dsDN-RT viruses,2169561
ssRN-RT viruses,2169561
dsDN-RT viruses,186534
dsDN-RT viruses,10652
dsDN-RT viruses,1512278
dsDN-RT viruses,328670
dsDN-RT viruses,1016853
dsDN-RT viruses,1476909
dsDN-RT viruses,328671
dsDN-RT viruses,1016854
dsDN-RT viruses,1016855
dsDN-RT viruses,1016856
dsDN-RT viruses,1016857
dsDN-RT viruses,1411991
dsDN-RT viruses,2057979
dsDN-RT viruses,2560349
dsDN-RT viruses,263892
dsDN-RT viruses,1940252
dsDN-RT viruses,1960255
dsDN-RT viruses,2056879
dsDN-RT viruses,2056883
dsDN-RT viruses,2056884
dsDN-RT viruses,2056885
dsDN-RT viruses,1960254
dsDN-RT viruses,31559
dsDN-RT viruses,2169726
dsDN-RT viruses,2697535
dsDN-RT viruses,2560371
dsDN-RT viruses,419782
dsDN-RT viruses,174178
dsDN-RT viruses,10653
dsDN-RT viruses,549205
dsDN-RT viruses,1619899
dsDN-RT viruses,2169727
dsDN-RT viruses,2011125
dsDN-RT viruses,2169728
dsDN-RT viruses,380669
dsDN-RT viruses,1034096
dsDN-RT viruses,157270
dsDN-RT viruses,1471299
dsDN-RT viruses,2052838
dsDN-RT viruses,1050407
dsDN-RT viruses,2731270
dsDN-RT viruses,2020956
dsDN-RT viruses,218387
dsDN-RT viruses,1227557
dsDN-RT viruses,1505530
dsDN-RT viruses,2033633
dsDN-RT viruses,2034763
dsDN-RT viruses,262957
dsDN-RT viruses,2528410
dsDN-RT viruses,198310
dsDN-RT viruses,2169729
dsDN-RT viruses,157271
dsDN-RT viruses,1960252
dsDN-RT viruses,1960253
dsDN-RT viruses,362398
dsDN-RT viruses,362399
dsDN-RT viruses,2034762
dsDN-RT viruses,1634914
dsDN-RT viruses,178354
dsDN-RT viruses,1973265
dsDN-RT viruses,1561150
dsDN-RT viruses,1016852
dsDN-RT viruses,69577
dsDN-RT viruses,334778
dsDN-RT viruses,2056878
dsDN-RT viruses,2056880
dsDN-RT viruses,2056881
dsDN-RT viruses,2056882
dsDN-RT viruses,2056886
dsDN-RT viruses,52996
dsDN-RT viruses,1459800
dsDN-RT viruses,671126
dsDN-RT viruses,647294
dsDN-RT viruses,10639
dsDN-RT viruses,1808970
dsDN-RT viruses,1711685
dsDN-RT viruses,10640
dsDN-RT viruses,10641
dsDN-RT viruses,213888
dsDN-RT viruses,10649
dsDN-RT viruses,264076
dsDN-RT viruses,515320
dsDN-RT viruses,194445
dsDN-RT viruses,1221449
dsDN-RT viruses,47903
dsDN-RT viruses,515444
dsDN-RT viruses,186533
dsDN-RT viruses,38062
dsDN-RT viruses,2713640
dsDN-RT viruses,930168
dsDN-RT viruses,2733292
dsDN-RT viruses,2734563
dsDN-RT viruses,2303485
dsDN-RT viruses,186845
dsDN-RT viruses,59504
dsDN-RT viruses,1748295
dsDN-RT viruses,1213588
dsDN-RT viruses,2843011
dsDN-RT viruses,587370
dsDN-RT viruses,1232640
dsDN-RT viruses,995049
dsDN-RT viruses,107324
dsDN-RT viruses,187214
dsDN-RT viruses,172220
dsDN-RT viruses,175814
dsDN-RT viruses,35593
dsDN-RT viruses,10651
dsDN-RT viruses,1848040
dsDN-RT viruses,187212
dsDN-RT viruses,10654
dsDN-RT viruses,2733293
dsDN-RT viruses,1751715
dsDN-RT viruses,2267679
ssRN-RT viruses,186665
ssRN-RT viruses,186666
ssRN-RT viruses,2083181
ssRN-RT viruses,186667
ssRN-RT viruses,2052899
ssRN-RT viruses,11632
ssRN-RT viruses,153057
ssRN-RT viruses,11864
ssRN-RT viruses,11946
ssRN-RT viruses,363745
ssRN-RT viruses,11866
ssRN-RT viruses,11878
ssRN-RT viruses,11885
ssRN-RT viruses,11886
ssRN-RT viruses,354090
ssRN-RT viruses,11884
ssRN-RT viruses,11958
ssRN-RT viruses,11867
ssRN-RT viruses,140052
ssRN-RT viruses,11746
ssRN-RT viruses,363747
ssRN-RT viruses,240594
ssRN-RT viruses,11855
ssRN-RT viruses,11757
ssRN-RT viruses,11856
ssRN-RT viruses,1822365
ssRN-RT viruses,1622024
ssRN-RT viruses,239365
ssRN-RT viruses,69576
ssRN-RT viruses,723802
ssRN-RT viruses,1904439
ssRN-RT viruses,153136
ssRN-RT viruses,11901
ssRN-RT viruses,194440
ssRN-RT viruses,11908
ssRN-RT viruses,194441
ssRN-RT viruses,11909
ssRN-RT viruses,33748
ssRN-RT viruses,194443
ssRN-RT viruses,318279
ssRN-RT viruses,481147
ssRN-RT viruses,153137
ssRN-RT viruses,39720
ssRN-RT viruses,64462
ssRN-RT viruses,64461
ssRN-RT viruses,153135
ssRN-RT viruses,353768
ssRN-RT viruses,11768
ssRN-RT viruses,353765
ssRN-RT viruses,11840
ssRN-RT viruses,39746
ssRN-RT viruses,11777
ssRN-RT viruses,11807
ssRN-RT viruses,11808
ssRN-RT viruses,394239
ssRN-RT viruses,11809
ssRN-RT viruses,11786
ssRN-RT viruses,11795
ssRN-RT viruses,11801
ssRN-RT viruses,44561
ssRN-RT viruses,11636
ssRN-RT viruses,11970
ssRN-RT viruses,11788
ssRN-RT viruses,196403
ssRN-RT viruses,11764
ssRN-RT viruses,99182
ssRN-RT viruses,1038068
ssRN-RT viruses,11830
ssRN-RT viruses,590745
ssRN-RT viruses,11834
ssRN-RT viruses,11819
ssRN-RT viruses,11646
ssRN-RT viruses,11657
ssRN-RT viruses,11660
ssRN-RT viruses,11665
ssRN-RT viruses,11673
ssRN-RT viruses,11676
ssRN-RT viruses,11709
ssRN-RT viruses,36370
ssRN-RT viruses,12804
ssRN-RT viruses,32615
ssRN-RT viruses,11723
ssRN-RT viruses,159122
ssRN-RT viruses,2169971
ssRN-RT viruses,11663
ssRN-RT viruses,40270
ssRN-RT viruses,2169664
ssRN-RT viruses,207343
ssRN-RT viruses,2169665
ssRN-RT viruses,109270
ssRN-RT viruses,2169666
ssRN-RT viruses,53182
ssRN-RT viruses,2169894
ssRN-RT viruses,2169667
ssRN-RT viruses,2170139
ssRN-RT viruses,2169668
ssRN-RT viruses,2170193
ssRN-RT viruses,221703
ssRN-RT viruses,2170194
ssRN-RT viruses,2170195
ssRN-RT viruses,2170197
ssRN-RT viruses,2170198
ssRN-RT viruses,2170199
ssRN-RT viruses,2170200
ssRN-RT viruses,2170201
ssRN-RT viruses,2170204
ssRN-RT viruses,2170205
ssRN-RT viruses,2170206
ssRN-RT viruses,11640
ssRN-RT viruses,338079
ssRN-RT viruses,11642
ssRN-RT viruses,348296
ssRN-RT viruses,93465
ssRN-RT viruses,1435008
ssRN-RT viruses,45617
ssRN-RT viruses,166122
ssRN-RT viruses,2320522
ssRN-RT viruses,204873
dsRN viruses,2732405
dsRN viruses,2732458
dsRN viruses,2732540
dsRN viruses,249310
dsRN viruses,2560087
dsRN viruses,2560296
dsRN viruses,664255
dsRN viruses,607716
dsRN viruses,2560353
dsRN viruses,1692191
dsRN viruses,284687
dsRN viruses,2560390
dsRN viruses,1766766
dsRN viruses,2560531
dsRN viruses,1930960
dsRN viruses,2560574
dsRN viruses,1708483
dsRN viruses,2560701
dsRN viruses,1162393
dsRN viruses,2560765
dsRN viruses,1923465
dsRN viruses,2955249
dsRN viruses,759389
dsRN viruses,2682569
dsRN viruses,399394
dsRN viruses,434898
dsRN viruses,158372
dsRN viruses,1587509
dsRN viruses,2382121
dsRN viruses,2560100
dsRN viruses,2560291
dsRN viruses,2066695
dsRN viruses,2164061
dsRN viruses,1592572
dsRN viruses,1405299
dsRN viruses,2560479
dsRN viruses,1679238
dsRN viruses,2560478
dsRN viruses,254946
dsRN viruses,2304034
dsRN viruses,2587540
dsRN viruses,2587541
dsRN viruses,1755792
dsRN viruses,1755793
dsRN viruses,11014
dsRN viruses,164750
dsRN viruses,764348
dsRN viruses,1285596
dsRN viruses,1285597
dsRN viruses,1285598
dsRN viruses,658904
dsRN viruses,1676267
dsRN viruses,1661257
dsRN viruses,1299296
dsRN viruses,1299297
dsRN viruses,1000373
dsRN viruses,11006
dsRN viruses,11011
dsRN viruses,29255
dsRN viruses,2082658
dsRN viruses,39755
dsRN viruses,1678905
dsRN viruses,58103
dsRN viruses,12530
dsRN viruses,1678906
dsRN viruses,39116
dsRN viruses,1497019
dsRN viruses,11007
dsRN viruses,11008
dsRN viruses,2170233
dsRN viruses,42478
dsRN viruses,1300323
dsRN viruses,927810
dsRN viruses,28882
dsRN viruses,1167690
dsRN viruses,1167691
dsRN viruses,463392
dsRN viruses,425009
dsRN viruses,279539
dsRN viruses,674952
dsRN viruses,674953
dsRN viruses,674954
dsRN viruses,170965
dsRN viruses,1008292
dsRN viruses,674981
dsRN viruses,1087070
dsRN viruses,1685109
dsRN viruses,267285
dsRN viruses,210827
dsRN viruses,382962
dsRN viruses,152217
dsRN viruses,196690
dsRN viruses,45237
dsRN viruses,271257
dsRN viruses,441999
dsRN viruses,1148491
dsRN viruses,73497
dsRN viruses,73498
dsRN viruses,939923
dsRN viruses,1728964
dsRN viruses,1485922
dsRN viruses,1547580
dsRN viruses,1566868
dsRN viruses,2268743
dsRN viruses,1849535
dsRN viruses,1661396
dsRN viruses,1765736
dsRN viruses,1580605
dsRN viruses,1859161
dsRN viruses,1312445
dsRN viruses,1460374
dsRN viruses,1756615
dsRN viruses,1561171
dsRN viruses,1561172
dsRN viruses,556524
dsRN viruses,2026601
dsRN viruses,1765754
dsRN viruses,1608533
dsRN viruses,1870981
dsRN viruses,1678170
dsRN viruses,1678171
dsRN viruses,1678172
dsRN viruses,1678173
dsRN viruses,1678161
dsRN viruses,1678162
dsRN viruses,1678163
dsRN viruses,1678164
dsRN viruses,1678165
dsRN viruses,1678166
dsRN viruses,1678167
dsRN viruses,1678168
dsRN viruses,663282
dsRN viruses,155414
dsRN viruses,1898175
dsRN viruses,1856030
dsRN viruses,1353795
dsRN viruses,1729670
dsRN viruses,1874267
dsRN viruses,2057198
dsRN viruses,1777016
dsRN viruses,2248770
dsRN viruses,1497848
dsRN viruses,282786
dsRN viruses,1755467
dsRN viruses,1833938
dsRN viruses,349681
dsRN viruses,912320
dsRN viruses,1798085
dsRN viruses,2137353
dsRN viruses,2137354
dsRN viruses,1714362
dsRN viruses,1714363
dsRN viruses,1714364
dsRN viruses,1714366
dsRN viruses,1714367
dsRN viruses,1714368
dsRN viruses,1714370
dsRN viruses,1921825
dsRN viruses,2082585
dsRN viruses,2082586
dsRN viruses,1770613
dsRN viruses,1163537
dsRN viruses,29256
dsRN viruses,2732459
dsRN viruses,2732541
dsRN viruses,10880
dsRN viruses,699181
dsRN viruses,273810
dsRN viruses,699182
dsRN viruses,338781
dsRN viruses,10892
dsRN viruses,40050
dsRN viruses,40051
dsRN viruses,40052
dsRN viruses,40065
dsRN viruses,1679172
dsRN viruses,40053
dsRN viruses,40054
dsRN viruses,449133
dsRN viruses,201490
dsRN viruses,40056
dsRN viruses,204269
dsRN viruses,40057
dsRN viruses,40058
dsRN viruses,40059
dsRN viruses,356862
dsRN viruses,104581
dsRN viruses,40060
dsRN viruses,40067
dsRN viruses,40061
dsRN viruses,40062
dsRN viruses,47465
dsRN viruses,306276
dsRN viruses,2306813
dsRN viruses,1408137
dsRN viruses,1955493
dsRN viruses,559180
dsRN viruses,1428763
dsRN viruses,1692107
dsRN viruses,10985
dsRN viruses,10991
dsRN viruses,10986
dsRN viruses,10987
dsRN viruses,411854
dsRN viruses,10912
dsRN viruses,28875
dsRN viruses,28876
dsRN viruses,10942
dsRN viruses,36427
dsRN viruses,335100
dsRN viruses,884200
dsRN viruses,183405
dsRN viruses,994994
dsRN viruses,183407
dsRN viruses,994995
dsRN viruses,1348384
dsRN viruses,335103
dsRN viruses,1637496
dsRN viruses,1929964
dsRN viruses,1340801
dsRN viruses,208294
dsRN viruses,77763
dsRN viruses,649604
dsRN viruses,104580
dsRN viruses,246280
dsRN viruses,10979
dsRN viruses,56094
dsRN viruses,173082
dsRN viruses,57747
dsRN viruses,1382300
dsRN viruses,185782
dsRN viruses,2083444
dsRN viruses,994485
dsRN viruses,519014
dsRN viruses,465447
dsRN viruses,1862978
dsRN viruses,1963254
dsRN viruses,10911
dsRN viruses,2748762
dsRN viruses,46839
dsRN viruses,2747210
dsRN viruses,62352
dsRN viruses,2734338
dsRN viruses,2290890
dsRN viruses,2734340
dsRN viruses,2014339
dsRN viruses,10981
dsRN viruses,205895
dsRN viruses,205908
dsRN viruses,205910
dsRN viruses,134606
dsRN viruses,2083445
dsRN viruses,480410
dsRN viruses,205896
dsRN viruses,1382295
dsRN viruses,205899
dsRN viruses,1986950
dsRN viruses,1577776
dsRN viruses,699180
dsRN viruses,341721
dsRN viruses,1567404
dsRN viruses,10988
dsRN viruses,77698
dsRN viruses,10989
dsRN viruses,185954
dsRN viruses,33724
dsRN viruses,73147
dsRN viruses,10990
dsRN viruses,519497
dsRN viruses,311225
dsRN viruses,311226
dsRN viruses,37368
dsRN viruses,311227
dsRN viruses,311228
dsRN viruses,404237
dsRN viruses,404238
dsRN viruses,311229
dsRN viruses,1840528
dsRN viruses,10882
dsRN viruses,38170
dsRN viruses,75888
dsRN viruses,2170064
dsRN viruses,351073
dsRN viruses,538123
dsRN viruses,118027
dsRN viruses,253454
dsRN viruses,1157337
dsRN viruses,226613
dsRN viruses,667093
dsRN viruses,1462685
dsRN viruses,1459003
dsRN viruses,1388882
dsRN viruses,419697
dsRN viruses,10992
dsRN viruses,42475
dsRN viruses,2250219
dsRN viruses,1811230
dsRN viruses,1427476
dsRN viruses,1640277
dsRN viruses,1670669
dsRN viruses,2108203
dsRN viruses,352248
dsRN viruses,907191
dsRN viruses,1004049
dsRN viruses,2732460
dsRN viruses,2732542
dsRN viruses,10877
dsRN viruses,10878
dsRN viruses,2169857
dsRN viruses,161736
dsRN viruses,2169858
dsRN viruses,134554
dsRN viruses,2169859
dsRN viruses,593131
dsRN viruses,10879
dsRN viruses,2928686
dsRN viruses,2169860
dsRN viruses,120086
dsRN viruses,2169861
dsRN viruses,1603039
dsRN viruses,2169862
dsRN viruses,1852644
dsRN viruses,2732408
+ssRN viruses,2732408
dsRN viruses,2732505
+ssRN viruses,2732505
dsRN viruses,2732549
+ssRN viruses,2732549
dsRN viruses,1511860
dsRN viruses,1511861
dsRN viruses,2058778
dsRN viruses,2058779
dsRN viruses,430710
dsRN viruses,878260
dsRN viruses,591166
dsRN viruses,1985164
dsRN viruses,2560258
dsRN viruses,114871
dsRN viruses,2065797
dsRN viruses,1872708
dsRN viruses,2069319
dsRN viruses,2069320
dsRN viruses,2069321
dsRN viruses,2069322
dsRN viruses,2069323
dsRN viruses,2069324
dsRN viruses,2069325
dsRN viruses,2069326
dsRN viruses,2069327
dsRN viruses,2419805
dsRN viruses,1985202
dsRN viruses,1985203
dsRN viruses,2842317
dsRN viruses,2842929
dsRN viruses,2844050
dsRN viruses,421976
dsRN viruses,2844307
dsRN viruses,687918
dsRN viruses,2846165
dsRN viruses,1895000
dsRN viruses,2846570
dsRN viruses,2315392
dsRN viruses,11012
dsRN viruses,1511808
dsRN viruses,509923
dsRN viruses,589918
dsRN viruses,284688
dsRN viruses,284689
dsRN viruses,529380
dsRN viruses,568090
dsRN viruses,344866
dsRN viruses,91913
dsRN viruses,942041
dsRN viruses,1469905
dsRN viruses,1469906
dsRN viruses,1469908
dsRN viruses,631431
dsRN viruses,859651
dsRN viruses,54289
dsRN viruses,292052
dsRN viruses,2043550
dsRN viruses,1825688
dsRN viruses,1511809
dsRN viruses,37961
dsRN viruses,1115692
dsRN viruses,674982
dsRN viruses,235434
dsRN viruses,1323528
dsRN viruses,1323529
dsRN viruses,75747
dsRN viruses,1849534
dsRN viruses,872291
dsRN viruses,1387301
dsRN viruses,1249677
dsRN viruses,159132
dsRN viruses,186815
dsRN viruses,1323523
dsRN viruses,674983
dsRN viruses,1511840
dsRN viruses,479713
dsRN viruses,1323524
dsRN viruses,46618
dsRN viruses,674984
dsRN viruses,235994
dsRN viruses,1323525
dsRN viruses,1573459
dsRN viruses,675059
dsRN viruses,675060
dsRN viruses,1511810
dsRN viruses,912029
dsRN viruses,29257
dsRN viruses,882768
dsRN viruses,369643
dsRN viruses,1050903
dsRN viruses,1511811
dsRN viruses,358008
dsRN viruses,148880
dsRN viruses,160484
dsRN viruses,1511847
dsRN viruses,191436
dsRN viruses,347482
dsRN viruses,296210
dsRN viruses,216371
dsRN viruses,2083275
dsRN viruses,1849335
dsRN viruses,2250452
dsRN viruses,1980631
dsRN viruses,2483307
dsRN viruses,1516075
dsRN viruses,425010
dsRN viruses,1980625
dsRN viruses,1408895
dsRN viruses,335204
dsRN viruses,1849533
dsRN viruses,2305257
dsRN viruses,1756157
dsRN viruses,1183241
dsRN viruses,1685502
dsRN viruses,348449
dsRN viruses,351495
dsRN viruses,580254
dsRN viruses,1408894
dsRN viruses,1411681
dsRN viruses,2045504
dsRN viruses,492502
dsRN viruses,2025333
dsRN viruses,659497
dsRN viruses,1768874
dsRN viruses,1891704
dsRN viruses,1937817
dsRN viruses,1415665
dsRN viruses,1310424
dsRN viruses,585893
dsRN viruses,104394
dsRN viruses,145856
dsRN viruses,104395
dsRN viruses,1930304
dsRN viruses,1187973
dsRN viruses,1961162
dsRN viruses,1961155
dsRN viruses,1907787
dsRN viruses,442302
dsRN viruses,10993
dsRN viruses,39750
dsRN viruses,11002
dsRN viruses,359995
dsRN viruses,359996
dsRN viruses,59816
dsRN viruses,1721090
dsRN viruses,1661392
dsRN viruses,39751
dsRN viruses,10995
dsRN viruses,564643
dsRN viruses,311176
dsRN viruses,2583366
dsRN viruses,39752
dsRN viruses,48981
dsRN viruses,2733288
dsRN viruses,321302
dsRN viruses,1127767
dsRN viruses,1918013
dsRN viruses,1918014
dsRN viruses,2138326
dsRN viruses,1654339
dsRN viruses,2732900
dsRN viruses,2733294
dsRN viruses,2250469
dsRN viruses,1740646
dsRN viruses,2734566
dsRN viruses,1529605
dsRN viruses,2546034
dsRN viruses,2509266
dsRN viruses,2734568
dsRN viruses,2164101
dsRN viruses,2734569
dsRN viruses,2485923
dsDN-RT viruses,483537
ssRN-RT viruses,483537
dsRN viruses,483537
+ssRN viruses,483537
-ssRN viruses,483537
Other viruses,483537
dsDN-RT viruses,1532031
ssRN-RT viruses,1532031
dsRN viruses,1532031
+ssRN viruses,1532031
-ssRN viruses,1532031
Other viruses,1532031
dsDN-RT viruses,1087068
ssRN-RT viruses,1087068
dsRN viruses,1087068
+ssRN viruses,1087068
-ssRN viruses,1087068
Other viruses,1087068
dsDN-RT viruses,1054649
ssRN-RT viruses,1054649
dsRN viruses,1054649
+ssRN viruses,1054649
-ssRN viruses,1054649
Other viruses,1054649
dsDN-RT viruses,1568973
ssRN-RT viruses,1568973
dsRN viruses,1568973
+ssRN viruses,1568973
-ssRN viruses,1568973
Other viruses,1568973
dsDN-RT viruses,862944
ssRN-RT viruses,862944
dsRN viruses,862944
+ssRN viruses,862944
-ssRN viruses,862944
Other viruses,862944
dsDN-RT viruses,1565088
ssRN-RT viruses,1565088
dsRN viruses,1565088
+ssRN viruses,1565088
-ssRN viruses,1565088
Other viruses,1565088
dsDN-RT viruses,1329781
ssRN-RT viruses,1329781
dsRN viruses,1329781
+ssRN viruses,1329781
-ssRN viruses,1329781
Other viruses,1329781
dsDN-RT viruses,1678177
ssRN-RT viruses,1678177
dsRN viruses,1678177
+ssRN viruses,1678177
-ssRN viruses,1678177
Other viruses,1678177
dsDN-RT viruses,1678178
