taxid,disease_ko
31631,H02442
11620,H00386
44130,H02442
37296,H00041
488241,H00398
28311,H00374
93838,H00399
138948,H00393
122928,H01430
573824,H02442
2169991,H01541
11577,H01537
337054,H00374
493803,H01555
138950,H00393
11588,H01549
11069,H00381
11250,H00401
35511,H02511
10942,H01430
227984,H00402
11036,H01547
10258,H02354
31704,H01326
1335626,H01419
12542,H00416
992212,H01416
11908,H00009
262897,H01430
46839,H02165
108098,H01320
11676,H01563
1891767,H00015
57482,H00378
10359,H00368
1332244,H00399
37124,H01540
40540,H00374
11628,H01542
138951,H00393
10255,H00372
10244,H00373
2169701,H01545
12475,H00414
333923,H00374
11080,H02166
649188,H02173
11216,H00400
63330,H01538
10372,H00369
11082,H01548
290028,H02442
10632,H00370
36427,H01430
1678143,H00415
463676,H02442
1980494,H00389
90961,H00378
10310,H00365
11234,H00394
11083,H00380
11137,H02442
11983,H01323
64320,H01553
277944,H02442
11041,H00395
10942,H00975
335341,H00398
11029,H00397
10280,H01052
33743,H01322
64280,H00383
28875,H00975
337042,H00374
11053,H00381
138949,H00393
122929,H01323
11709,H00406
499556,H02173
211044,H00398
11269,H00405
118655,H02163
11084,H00380
11070,H00381
11089,H00384
333760,H00374
1980456,H00390
64315,H02171
11039,H01534
1980490,H00389
2560525,H00400
130760,H00398
565995,H00283
10243,H02351
12090,H01421
80935,H02512
2697049,H02398
162145,H01063
11983,H01430
36427,H00975
130310,H01320
147711,H02442
11060,H00381
39054,H01327
10621,H00374
11709,H01563
11908,H01724
122929,H01430
334203,H00374
11021,H01535
12086,H00376
11292,H00377
1980471,H00389
10376,H00367
11234,H01696
10298,H00365
121791,H01539
206160,H02164
1980486,H00389
12131,H02442
11072,H01533
39054,H01326
45219,H01543
147712,H02442
1980519,H00284
108098,H01420
11079,H01536
10600,H00374
11103,H00413
12092,H00411
1980491,H00390
12730,H00400
186538,H00283
57483,H00378
122928,H01323
333759,H00374
10617,H00374
172148,H01560
186540,H00283
337043,H00374
12080,H00376
11553,H00398
28875,H01430
11224,H00400
130308,H01320
11623,H01324
10600,H01418
1980467,H00389
10335,H00366
1980459,H00390
262897,H01323
186541,H00283
12089,H01421
10245,H02352
32604,H00369
10325,H00387
2560602,H00396
333759,H01418
11676,H00406
10407,H00412
59301,H01546
35304,H01550
12083,H00376
10798,H00404
