from,to
"D00225","H01662"
"D00615","H01632"
"D00517","H01632"
"D00253","H01600"
"D00709","H00808"
"D00947","H00340"
"D00351","H01329"
"D11014","H00413"
"D00131","H01611"
"D00491","H00031"
"D00473","H00080"
"D02398","H00024"
"D08872","H01366"
"D00473","H00630"
"D00893","H00155"
"D06078","H01593"
"D09572","H01621"
"D00924","H01176"
"D02166","H00003"
"D02122","H00427"
"D00656","H01633"
"D00292","H01695"
"D06623","H01649"
"D06274","H00612"
"D00351","H01334"
"D02009","H00343"
"D00965","H00024"
"D00975","H01507"
"D04492","H01006"
"D00742","H01507"
"D08035","H00862"
"D10131","H00010"
"D00290","H00305"
"D00914","H00353"
"D05768","H01597"
"D10082","H01609"
"D02258","H01635"
"D00249","H00437"
"D01275","H00027"
"D11092","H01635"
"D00565","H01635"
"D05803","H00003"
"D10455","H01321"
"D09756","H00409"
"D00140","H00343"
"D09219","H01633"
"D10199","H01459"
"D10551","H00014"
"D03903","H00326"
"D01093","H01334"
"D00819","H01646"
"D10169","H01316"
"D00945","H00409"
"D12014","H02398"
"D00292","H01648"
"D00994","H01594"
"D01073","H01445"
"D01275","H02418"
"D10179","H00409"
"D10817","H00021"
"D00603","H00612"
"D00088","H00366"
"D00440","H01602"
"D03903","H00350"
"D10452","H00024"
"D00978","H01695"
"D00625","H00409"
"D01990","H01175"
"D02122","H00328"
"D03665","H01481"
"D02009","H00311"
"D01337","H01621"
"D02212","H01714"
"D03903","H00305"
"D01441","H01599"
"D11108","H00040"
"D03065","H01459"
"D01275","H02427"
"D11585","H01633"
"D03455","H02420"
"D03213","H01723"
"D06320","H01463"
"D04056","H01634"
"D08870","H01892"
"D00407","H01360"
"D00088","H01358"
"D01203","H00428"
"D00850","H01445"
"D00979","H01698"
"D05529","H01418"
"D00472","H01648"
"D00088","H01674"
"D00088","H01657"
"D00340","H01633"
"D00295","H01634"
"D00472","H01362"
"D10733","H00031"
"D09314","H01490"
"D11576","H01672"
"D02129","H00349"
"D11360","H00409"
"D02078","H01293"
"D00088","H01490"
"D00146","H00080"
"D02129","H00348"
"D02764","H00366"
"D02724","H00612"
"D11611","H00046"
"D10190","H00021"
"D00254","H00042"
"D02114","H00630"
"D00307","H01415"
"D02745","H01418"
"D11555","H00036"
"D00587","H00305"
"D05725","H00789"
"D11713","H01592"
"D04997","H01633"
"D02122","H00297"
"D00690","H01360"
"D00391","H00365"
"D10469","H00413"
"D11027","H00012"
"D00407","H01695"
"D02802","H00005"
"D00049","H01635"
"D00624","H01633"
"D02165","H00031"
"D10249","H01633"
"D12314","H00408"
"D02185","H00111"
"D10096","H00002"
"D00742","H00630"
"D00491","H00041"
"D06409","H01665"
"D00334","H01635"
"D10574","H00026"
"D11390","H00003"
"D00407","H01657"
"D11712","H01592"
"D10978","H01714"
"D00063","H00218"
"D03903","H01445"
"D00407","H01674"
"D10667","H01445"
"D01990","H00333"
"D10316","H00020"
"D03505","H01669"
"D10526","H00020"
"D02009","H00334"
"D01441","H00004"
"D02129","H00361"
"D09336","H01639"
"D02994","H01648"
"D10374","H01641"
"D00601","H01633"
"D10316","H00013"
"D11485","H02427"
"D00868","H00360"
"D00407","H01463"
"D11120","H00109"
"D01363","H00027"
"D00088","H00079"
"D00458","H01653"
"D00978","H01463"
"D02461","H01530"
"D00307","H00349"
"D10265","H00409"
"D11359","H00408"
"D06397","H00024"
"D02166","H00024"
"D10817","H01555"
"D00973","H00216"
"D02494","H00359"
"D02129","H00305"
"D00401","H01645"
"D10854","H00612"
"D00209","H01316"
"D11393","H01613"
"D10261","H00409"
"D00409","H00812"
"D00473","H01357"
"D00981","H01586"
"D10915","H01818"
"D10825","H00057"
"D10430","H01621"
"D09196","H01633"
"D10708","H01563"
"D09730","H00024"
"D06886","H00286"
"D05919","H01331"
"D02197","H02301"
"D09728","H00004"
"D02691","H00254"
"D04872","H01463"
"D00203","H01503"
"D00292","H00216"
"D00850","H00332"
"D10866","H00014"
"D07895","H01633"
"D00588","H01176"
"D12131","H01293"
"D00978","H00630"
"D04540","H00408"
"D10263","H00409"
"D02122","H01445"
"D01350","H00325"
"D00473","H01358"
"D00989","H02018"
"D00878","H00342"
"D00290","H00312"
"D10316","H00022"
"D11876","H01594"
"D10244","H00409"
"D02116","H00024"
"D10316","H00018"
"D04715","H00036"
"D02482","H00361"
"D01929","H01714"
"D05408","H00339"
"D00295","H01602"
"D00753","H00083"
"D01364","H01316"
"D11048","H01358"
"D01155","H00014"
"D00336","H00409"
"D02260","H01646"
"D00290","H00349"
"D00357","H01456"
"D08957","H01608"
"D00618","H01633"
"D11394","H00020"
"D00409","H01380"
"D02593","H01522"
"D00407","H00080"
"D00981","H00216"
"D00578","H01328"
"D02784","H00125"
"D10497","H01431"
"D02259","H01645"
"D05408","H01314"
"D00472","H01717"
"D00717","H01615"
"D02129","H01318"
"D10836","H01563"
"D10095","H00048"
"D00473","H01694"
"D00979","H01672"
"D00583","H00228"
"D07507","H01563"
"D00324","H00079"
"D00978","H01698"
"D10687","H01054"
"D01277","H01614"
"D02498","H01563"
"D01275","H00007"
"D00292","H01357"
"D00793","H01649"
"D01251","H00315"
"D09315","H00206"
"D01157","H01176"
"D03441","H01507"
"D01980","H01316"
"D00490","H01132"
"D11323","H01613"
"D00074","H01621"
"D03903","H00321"
"D01552","H00058"
"D10297","H00079"
"D02122","H00360"
"D06087","H02176"
"D00926","H01175"
"D00975","H01652"
"D02461","H01314"
"D10560","H00005"
"D00472","H00079"
"D00540","H01634"
"D09187","H01593"
"D07085","H00005"
"D10252","H01360"
"D02754","H01656"
"D11215","H01490"
"D10096","H00001"
"D06503","H00014"
"D00307","H01445"
"D08997","H01418"
"D02597","H01466"
"D11042","H00218"
"D00978","H00237"
"D02274","H01097"
"D01132","H01656"
"D01370","H01490"
"D00168","H01668"
"D00088","H01695"
"D00473","H00286"
"D08890","H01635"
"D00516","H01632"
"D00163","H01213"
"D11858","H00320"
"D06495","H01483"
"D00249","H01593"
"D03903","H01440"
"D00448","H01466"
"D10885","H01593"
"D10133","H01646"
"D00180","H00549"
"D10557","H01635"
"D00015","H00229"
"D00473","H01714"
"D00687","H01714"
"D00626","H01633"
"D11928","H02060"
"D01637","H01656"
"D10821","H00219"
"D00214","H00035"
"D00146","H01604"
"D09638","H00155"
"D02747","H00412"
"D11713","H00032"
"D00248","H00004"
"D00599","H00612"
"D01619","H01652"
"D10773","H00031"
"D09355","H01615"
"D00973","H01585"
"D06408","H00210"
"D10579","H01593"
"D00748","H00038"
"D02574","H01895"
"D09321","H00005"
"D09881","H01563"
"D00387","H01609"
"D00408","H00031"
"D05595","H00408"
"D00238","H00630"
"D00354","H01813"
"D10283","H01633"
"D11107","H00003"
"D00407","H01490"
"D01748","H01625"
"D11990","H01613"
"D01430","H00901"
"D02177","H00023"
"D06284","H00366"
"D02716","H01636"
"D03582","H01635"
"D06402","H01591"
"D02597","H00286"
"D03327","H01901"
"D00834","H01521"
"D07866","H00014"
"D00341","H02420"
"D10926","H02421"
"D02197","H00002"
"D11090","H00003"
"D06068","H00021"
"D00814","H01609"
"D04358","H01466"
"D12114","H02398"
"D10267","H01633"
"D00165","H01466"
"D00573","H01639"
"D02745","H01613"
"D10574","H00031"
"D02484","H00361"
"D02106","H00003"
"D00287","H00027"
"D03093","H01445"
"D01275","H00001"
"D05870","H00004"
"D02312","H00235"
"D00229","H00320"
"D02166","H01490"
"D10264","H00409"
"D11066","H00409"
"D00775","H00058"
"D00892","H01635"
"D01053","H00332"
"D11225","H01445"
"D08067","H01633"
"D11971","H02398"
"D00443","H01603"
"D00562","H01645"
"D11044","H00003"
"D09729","H00409"
"D02129","H01415"
"D05014","H01475"
"D09730","H00031"
"D04301","H00368"
"D00266","H00007"
"D04489","H00011"
"D09733","H00014"
"D00943","H01331"
"D10398","H00024"
"D00592","H00344"
"D00229","H00315"
"D04687","H01464"
"D06199","H02427"
"D00292","H00080"
"D00105","H00627"
"D08956","H00004"
"D08985","H00079"
"D00780","H01388"
"D11036","H01714"
"D11931","H02505"
"D05259","H00320"
"D01939","H01653"
"D01966","H00155"
"D11067","H00409"
"D01296","H01293"
"D00445","H01563"
"D00491","H00019"
"D01275","H00041"
"D05446","H00031"
"D02598","H00286"
"D09214","H01466"
"D00458","H01649"
"D06402","H00021"
"D02125","H00360"
"D11451","H01445"
"D10699","H00205"
"D10588","H00409"
"D00973","H01360"
"D10019","H00010"
"D00203","H00359"
"D10557","H00155"
"D00140","H00332"
"D01096","H01357"
"D00289","H01639"
"D01984","H01522"
"D10113","H01563"
"D00483","H01633"
"D10268","H01633"
"D01361","H00343"
"D03471","H01657"
"D00981","H01873"
"D00349","H01633"
"D03503","H01522"
"D01118","H01600"
"D08858","H01381"
"D06248","H02018"
"D01025","H00612"
"D00292","H01651"
"D00409","H01410"
"D00351","H01316"
"D02234","H01360"
"D01361","H00319"
"D01192","H01360"
"D09669","H01479"
"D03903","H00348"
"D02165","H02420"
"D00280","H01664"
"D00292","H01657"
"D00975","H01357"
"D02129","H00328"
"D00850","H01325"
"D00473","H01672"
"D02195","H00330"
"D05029","H00003"
"D00814","H01358"
"D00109","H01632"
"D01275","H00043"
"D01966","H00152"
"D00359","H01730"
"D10299","H01109"
"D00288","H00007"
"D12265","H00292"
"D03582","H00409"
"D01253","H01813"
"D02129","H00360"
"D11578","H00342"
"D01010","H00081"
"D06889","H00100"
"D00746","H01490"
"D00473","H00216"
"D09539","H01624"
"D10316","H00015"
"D06675","H00412"
"D00214","H02301"
"D11052","H01656"
"D10205","H01398"
"D04820","H01653"
"D11392","H01563"
"D00975","H01598"
"D08860","H01507"
"D03696","H01358"
"D03150","H01464"
"D00874","H00297"
"D01132","H01445"
"D11705","H01633"
"D10192","H01418"
"D10773","H00022"
"D02134","H01458"
"D08903","H01602"
"D01115","H01633"
"D00973","H01674"
"D04477","H00408"
"D06409","H00042"
"D10316","H00014"
"D02122","H00350"
"D05177","H00165"
"D02598","H01674"
"D06503","H00015"
"D10574","H00007"
"D05384","H02309"
"D00789","H01653"
"D02715","H01466"
"D09315","H00288"
"D03903","H00361"
"D11359","H00409"
"D10773","H00048"
"D10279","H01633"
"D11700","H00218"
"D00088","H01598"
"D00850","H00348"
"D00368","H01090"
"D10273","H01633"
"D01935","H00014"
"D10778","H00413"
"D01984","H01634"
"D03215","H01293"
"D00850","H00305"
"D12334","H00038"
"D00579","H00368"
"D00939","H01593"
"D03769","H01633"
"D00975","H01532"
"D02094","H01566"
"D10595","H00213"
"D00380","H00409"
"D02216","H00328"
"D00751","H01358"
"D00351","H01319"
"D00942","H01709"
"D07866","H00024"
"D00966","H00031"
"D06087","H00255"
"D11521","H01563"
"D00272","H01633"
"D00734","H01467"
"D02465","H00363"
"D09674","H00845"
"D02004","H00057"
"D10756","H01563"
"D00473","H01240"
"D00471","H01045"
"D11713","H00014"
"D00343","H00023"
"D02716","H01624"
"D01966","H01635"
"D12117","H01649"
"D09017","H01730"
"D10120","H01634"
"D02596","H01698"
"D10294","H01646"
"D10256","H01714"
"D12115","H02398"
"D00617","H01633"
"D00307","H00297"
"D00368","H01046"
"D12337","H00024"
"D02129","H00315"
"D10095","H01592"
"D00088","H00630"
"D00850","H01440"
"D03327","H00017"
"D11630","H00079"
"D10643","H02033"
"D02185","H00218"
"D00307","H00321"
"D00535","H01460"
"D00981","H00286"
"D00407","H01694"
"D10798","H01613"
"D00462","H01593"
"D11486","H00254"
"D02994","H00005"
"D11516","H00821"
"D02129","H00353"
"D00672","H01357"
"D00624","H01742"
"D04478","H01641"
"D04687","H00010"
"D02908","H02429"
"D00407","H00079"
"D09960","H00012"
"D00088","H01532"
"D11279","H01591"
"D12129","H02398"
"D00401","H00082"
"D00088","H01507"
"D00780","H00057"
"D00786","H01600"
"D02197","H00001"
"D10926","H00014"
"D02908","H00042"
"D09394","H00338"
"D05407","H00365"
"D09920","H00021"
"D01426","H00362"
"D09214","H01507"
"D05870","H00012"
"D00319","H01633"
"D00246","H01466"
"D00981","H00079"
"D03940","H01594"
"D00184","H00083"
"D00307","H00360"
"D00652","H00612"
"D11043","H00409"
"D12293","H00155"
"D00140","H00311"
"D00475","H01532"
"D00473","H01328"
"D00398","H00366"
"D02567","H01646"
"D00355","H00320"
"D06670","H01563"
"D02690","H01635"
"D00473","H01598"
"D00473","H01648"
"D08699","H01714"
"D09967","H01507"
"D00958","H00255"
"D05349","H01680"
"D00634","H01633"
"D00669","H01609"
"D02216","H00315"
"D00981","H00342"
"D09393","H02429"
"D00619","H00731"
"D10335","H01635"
"D00292","H00079"
"D01053","H01314"
"D00146","H01490"
"D00973","H01672"
"D11780","H02311"
"D00473","H00237"
"D11928","H02106"
"D10269","H01633"
