ko,name
"K06619","BCR-ABL"
"K08367","TEL-AML1"
"K04377","c-MYC"
"K05078","CRLF2"
"K09383","PAX5"
"K02599","NOTCH1"
"K09068","TAL1"
"K15604","LYL1"
"K09186","MLL-ENL"
"K09340","HOX11"
"K15612","LMO2"
"K15607","HOX11L2"
"K23588","PICALM-MLLT10"
"K10054","PML-RARalpha"
"K10055","PLZF-RARalpha"
"K05092","FLT3"
"K05091","KIT"
"K07828","NRAS"
"K07827","KRAS"
"K09055","CEBPA"
"K25826","CBFB"
"K17398","DNMT3A"
"K03211","ETV6"
"K17894","GATA2"
"K04447","JAK2"
"K16676","LPP"
"K11276","NPM1"
"K14317","NUP214"
"K20044","PICALM"
"K11247","SH3GL1"
"K11126","TERT"
"K04462","MECOM"
"K06621","CDKN2A"
"K04451","TP53"
"K06618","RB1"
"K02161","Bcl-2"
"K04728","ATM"
"K04390","Fas"
"K15618","Bcl-6"
"K04503","D1"
"K04734","NFKBIA"
"K05872","NFKBIE"
"K09254","REL"
"K10152","CCND3-IgH"
"K05094","IgH-FGFR3"
"K11424","IgH-MMSET"
"K09035","IgH-MAF"
"K01522","FHIT"
"K01110","PTEN"
"K03456","PPP2R1B"
"K05119","EML4-ALK"
"K05088","CD74-ROS1,SLC34A2-ROS1"
"K05126","KIF5B-RET"
"K08528","RARB"
"K09850","RASSF1"
"K04361","EGFR"
"K05099","MET"
"K04365","BRAF"
"K00922","PIK3CA"
"K09444","IRF1"
"K04685","p15/CDKN2B"
"K16684","NF2"
"K04359","PDGF-A"
"K17386","PDGF-B"
"K05459","IGF-1"
"K05087","IGF-R1"
"K04692","STAT-3"
"K11987","PTGS2"
"K13241","NOS2"
"K02085","APC"
"K06765","DCC"
"K22753","RNF6"
"K04388","TGFBR2"
"K19329","WWOX"
"K22234","CDX2"
"K06624","CDKN1B"
"K04674","TGFBR1"
"K05083","ERBB2"
"K06626","CCNE1"
"K05093","FGFR2"
"K08734","MLH1"
"K02105","CTNNB1"
"K05689","CDH1"
"K03575","MUTYH"
"K04501","SMAD4"
"K07298","STK11"
"K22029","PALLD"
"K08775","BRCA2"
"K10897","PALB2"
"K10605","BRCA1"
"K07933","RABL3"
"K08739","MLH3"
"K08735","MSH2"
"K08737","MSH6"
"K08736","MSH3"
"K02327","POLD1"
"K02324","POLE"
"K00710","GALNT12"
"K19631","SMAD7"
"K04500","SMAD2"
"K02159","BAX"
"K04385","AXIN2"
"K06641","CHEK2"
"K09594","FLCN"
"K04357","EGF"
"K08774","TGFA"
"K09784","EREG"
"K09782","AREG"
"K03871","VHL"
"K01679","FH"
"K08036","HNF1A"
"K03660","OGG1"
"K11757","PBRM1"
"K02833","H-ras"
"K08803","DAPK1"
"K10151","CCND2"
"K08557","AR"
"K09348","NKX3.1"
"K23790","GSTP1"
"K09435","TMPRSS2-ERG"
"K09431","TMPRSS2-ETV1"
"K15592","TMPRSS2-ETV4"
"K15593","TMPRSS2-ETV5"
"K04376","SLC45A3-ELK4"
"K06679","MAD1L1"
