from,to
"eoj","H00277"
"eoi","H00277"
"T40087","H01559"
"T40047","H01539"
"egl","H01153"
"T40375","H00382"
"T40087","H00044"
"ser","H01401"
"T40031","H00382"
"T40359","H02351"
"mjd","H01458"
"T40361","H02398"
"lmi","H00359"
"T40027","H01545"
"nfa","H00345"
"T40374","H00382"
"T40064","H00383"
"T40085","H00414"
"fnu","H01408"
"T40078","H01624"
"T40050","H00383"
"clec","H02416"
"bmy","H02028"
"T40362","H02442"
"seec","H00113"
"saun","H01455"
"ypd","H00297"
"T40027","H00382"
"T40056","H01537"
"T40003","H01724"
"T40063","H00383"
"T40079","H00054"
"eav","H01444"
"malv","H01458"
"sei","H00112"
"bal","H00328"
"tcr","H00358"
"T40102","H00371"
"ldo","H00359"
"caur","H00363"
"T40036","H00398"
"T40017","H00389"
"mgl","H01334"
"ssck","H01499"
"pvx","H00361"
"T40364","H02442"
"T40334","H01421"
"T40068","H00411"
"T40079","H00367"
"lbz","H00359"
"T40037","H00398"
"mlen","H00334"
"T40005","H00385"
"T40358","H00390"
"T40058","H00383"
"bmb","H00325"
"tsm","H01050"
"T40020","H00390"
"pbl","H01329"
"T40039","H00398"
"T40103","H01327"
"T40088","H00016"
"kqv","H00301"
"T40338","H00371"
"bmy","H01086"
"msto","H01458"
"cim","H01319"
"T40008","H00385"
"trm","H01408"
"rhe","H00323"
"bgr","H00326"
"mlm","H00344"
"bmay","H00353"
"T40081","H00041"
"ccu","H01408"
"cgr","H00363"
"rfe","H00323"
"mnv","H01458"
"T40098","H01418"
"T40049","H00382"
"T40002","H00406"
"T40007","H01543"
"T40124","H01052"
"mgl","H01652"
"T40062","H00382"
"pgu","H00363"
"T40329","H02171"
"T40363","H02442"
"T40107","H01323"
"T40008","H02173"
"T40327","H00379"
"cko","H00302"
"eab","H01339"
"gla","H00362"
"T40374","H00381"
"abe","H01316"
"T40010","H02173"
"mle","H00344"
"T40102","H01320"
"sapo","H02385"
"bqu","H00326"
"T40029","H00382"
"T40123","H01430"
"rja","H00323"
"T40091","H01324"
"ear","H00301"
"T40004","H00412"
"T40077","H00387"
"ctu","H00300"
"ehi","H00360"
"bbs","H00353"
"T40055","H01536"
"efa","H00340"
"set","H00113"
"tmf","H02393"
"btk","H01399"
"sgo","H01443"
"T40331","H01326"
"ypg","H00297"
"mchi","H01458"
"hdu","H00305"
"T40068","H02162"
"T40360","H02352"
"T40073","H00365"
"uue","H00388"
"T40052","H01533"
"sed","H00113"
"ypp","H00297"
"mche","H01462"
"lif","H00359"
"T40041","H00399"
"pkn","H00361"
"T40122","H00400"
"nbr","H01451"
"banc","H00326"
"lpan","H00359"
"T40034","H01429"
"T40001","H00406"
"mhad","H01458"
"T40064","H02164"
"vfu","H01070"
"T40330","H02173"
"svi","H01411"
"T40031","H01550"
"T40101","H01320"
"bbo","H01060"
"ctc","H00337"
"ses","H00113"
"T40060","H00380"
"cgi","H00364"
"T40053","H00379"
"T40030","H00382"
"T40046","H00391"
"lkm","H00355"
"bmic","H01060"
"nai","H01092"
"erh","H01315"
"sew","H00113"
"plf","H01343"
"T40008","H01544"
"bqu","H00327"
"T40094","H01430"
"T40032","H01546"
"sgo","H00334"
"ols","H01408"
"T40327","H02166"
"T40006","H00385"
"T40070","H00395"
"T40339","H00371"
"T40057","H00382"
"ncy","H00345"
"T40125","H00283"
"acav","H01074"
"bms","H00325"
"T40047","H00391"
"T40010","H00386"
"T40371","H02512"
"ecw","H00280"
"T40039","H02536"
"ecu","H01336"
"T40088","H00025"
"T40344","H00376"
"T40028","H00379"
"T40096","H00383"
"T40088","H00044"
"rms","H00323"
"T40350","H00399"
"T40079","H00007"
"cho","H00356"
"mphu","H01458"
"maic","H01458"
"T40032","H00382"
"mul","H01042"
"smm","H01045"
"T40365","H02442"
"T40004","H00048"
"mchi","H02029"
"T40096","H01416"
"cpv","H00356"
"gbr","H01049"
"T40083","H00373"
"T40085","H02162"
"bmo","H00427"
"T40029","H01548"
"T40366","H02442"
"cdu","H00363"
"T40055","H00379"
"T40087","H00025"
"mmm","H01458"
"phu","H01054"
"mlb","H00344"
"T40074","H02536"
"mrt","H01652"
"spq","H00112"
"T40001","H01563"
"loa","H02028"
"aje","H01062"
"aap","H01068"
"T40019","H00389"
"T40028","H01547"
"T40066","H00048"
"bhe","H00326"
"T40025","H00378"
"T40091","H01429"
"bcoi","H00427"
"T40088","H00029"
"T40087","H01509"
"T40001","H00041"
"ssa","H01443"
"T40005","H02173"
"mho","H00388"
"T40054","H01535"
"T40373","H00381"
"T40057","H00384"
"T40024","H00378"
"mhek","H01458"
"smar","H00303"
"T40121","H00283"
"T40026","H01540"
"T40088","H00030"
"elh","H00280"
"bbig","H01060"
"scf","H01443"
"mpe","H00388"
"T40329","H00379"
"sez","H01426"
"pbn","H01329"
"msym","H01358"
"ovi","H00046"
"T40074","H00365"
"smf","H01314"
"T40033","H01696"
"T40043","H00400"
"loa","H01104"
"T40106","H00393"
"tsp","H01099"
"cvi","H01353"
"T40066","H02162"
"T40063","H02165"
"klw","H00301"
"nda","H01451"
"T40079","H00008"
"sng","H01064"
"hil","H01366"
"T40375","H00381"
"T40074","H01429"
"eoh","H00277"
"T40016","H00389"
"T40073","H01429"
"mgau","H01458"
"tve","H01316"
"mshg","H01458"
"gbe","H01167"
"T40033","H00394"
"T40126","H02354"
"T40092","H00975"
"T40046","H01538"
"T40023","H00378"
"T40328","H00383"
"T40049","H01553"
"rak","H02379"
"T40087","H00029"
"T40101","H00371"
"ovi","H01628"
"T40051","H01555"
"tgo","H00435"
"T40001","H00008"
"T40015","H00405"
"kqu","H00301"
"T40332","H01421"
"T40006","H01542"
"T40014","H00283"
"gvg","H01380"
"T40072","H00370"
"cun","H01051"
"T40011","H00284"
"bcw","H00427"
"T40067","H00415"
"bbu","H01493"
"T40103","H00393"
"T40100","H01320"
"cal","H00363"
"T40076","H00369"
"mij","H01458"
"ssn","H00299"
"pfib","H00218"
"tpr","H01050"
"T40075","H00369"
"T40079","H01490"
"mtl","H01472"
"T40087","H00030"
"T40053","H01534"
"raj","H00334"
"sha","H01175"
"T40328","H01322"
"bdu","H00427"
"mche","H01458"
"T40011","H00383"
"T40073","H02536"
"T40373","H00382"
"T40065","H00383"
"mseo","H01458"
"ein","H01336"
