ko,name
"T40079","Human herpesvirus 4 (Epstein-Barr virus)"
"T40001","Human immunodeficiency virus 1 (HIV-1)"
"T40003","Human T-lymphotropic virus 1"
"T40086","Simian virus 40 (SV40)"
"T40087","Human papillomavirus type 16"
"T40088","Human papillomavirus type 18"
"T40089","Human papillomavirus types 5, 8"
"T40081","Human herpesvirus 8 (KSHV)"
"ovi","Opisthorchis viverrini"
"T40004","Hepatitis B virus"
"T40066","Hepatitis C virus"
"spq","Salmonella enterica serovar Paratyphi B"
"sei","Salmonella enterica serovar Paratyphi C"
"sec","Salmonella enterica subsp. enterica serovar Choleraesuis"
"see","Salmonella enterica subsp. enterica serovar Newport"
"sew","Salmonella enterica subsp. enterica serovar Schwarzengrund"
"sed","Salmonella enterica subsp. enterica serovar Dublin"
"set","Salmonella enterica subsp. enterica serovar Enteritidis"
"seec","Salmonella enterica subsp. enterica Serovar Cubana"
"ses","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- RSK2980"
"pfib","Pandoraea fibrosis 6399"
"eoj","Escherichia coli O26:H11"
"eoi","Escherichia coli O111:H-"
"eoh","Escherichia coli O103:H2"
"ecg","Escherichia coli O127:H6"
"elh","Escherichia coli O78:H11"
"ecw","Escherichia coli O139:H28"
"T40012","Zaire ebolavirus"
"T40014","Sudan ebolavirus"
"T40125","Tai Forest ebolavirus"
"T40121","Bundibugyo virus"
"T40011","Crimean-Congo hemorrhagic fever virus"
"mao","Mycobacterium avium subsp. paratuberculosis"
"ype","Yersinia pestis CO92 (biovar Orientalis)"
"ypk","Yersinia pestis KIM (biovar Mediaevalis)"
"ypp","Yersinia pestis Pestoides F"
"ypg","Yersinia pestis Angola"
"ypd","Yersinia pestis D106004"
"ypx","Yersinia pestis D182038"
"ssn","Shigella sonnei"
"ctu","Cronobacter turicensis"
"kqu","Klebsiella quasipneumoniae"
"ear","Klebsiella aerogenes"
"kqv","Klebsiella quasivariicola"
"klw","Klebsiella sp. WCHKl090001"
"cko","Citrobacter koseri (infants and immunocompromised)"
"smar","Serratia marcescens"
"spe","Serratia proteamaculans"
"hdu","Haemophilus ducreyi"
"llo","Legionella longbeachae"
"lsh","Legionella sainthelensi"
"bpa","Bordetella parapertussis"
"rty","Rickettsia typhi"
"rri","Rickettsia rickettsii"
"rco","Rickettsia conorii"
"rfe","Rickettsia felis"
"rms","Rickettsia massiliae"
"raf","Rickettsia africae"
"rja","Rickettsia japonica"
"rhe","Rickettsia heilongjiangensis"
"bmb","Brucella abortus"
"bms","Brucella suis"
"bhe","Bartonella henselae (Cat-scratch disease)"
"bbk","Bartonella bacilliformis (Oroya fever and bacillary angiomatosis)"
"bqu","Bartonella quintana (Trench fever and bacillary angiomatosis)"
"bgr","Bartonella grahami (Neuroretinitis)"
"banc","Candidatus Bartonella ancashi"
"bal","Bacillus cereus"
"bcy","Bacillus cytotoxicus"
"ssa","Streptococcus sanguinis"
"sgo","Streptococcus gordonii"
"raj","Rothia aeria"
"aap","Aggregatibacter aphrophilus"
"mlen","Mammaliicoccus lentus"
"ctc","Clostridium tetani"
"efa","Enterococcus faecalis"
"mpe","Mycoplasma penetrans"
"mle","Mycobacterium leprae"
"mlb","Mycobacterium leprae"
"mlm","Mycobacterium lepromatosis"
"nfa","Nocardia farcinica"
"ncy","Nocardia cyriacigeorgica"
"bbs","Borrelia bissettii"
"bmay","Borrelia mayonii"
"lst","Leptospira santarosai"
"lkm","Leptospira kmetyi"
"cpv","Cryptosporidium parvum"
"cho","Cryptosporidium hominis"
"tcr","Trypanosoma cruzi"
"lma","Leishmania major"
"lif","Leishmania infantum"
"lmi","Leishmania mexicana MHOM/GT/2001/U1103"
"ldo","Leishmania donovani"
"lbz","Leishmania braziliensis"
"lpan","Leishmania panamensis"
"ehi","Entamoeba histolytica"
"pvx","Plasmodium vivax"
"pkn","Plasmodium knowlesi H"
"gla","Giardia lamblia"
"cal","Candida albicans"
"cdu","Candida dubliniensis"
"ctp","Candida tropicalis"
